feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,0.63,1.26,2015-11-17 16:02:41.711825
Spindle,CZ-A1,9.65,10.96,2015-11-17 16:02:58.651722
Spindle,CZ-A1,44.35,44.94,2015-11-17 16:04:16.571294
Spindle,CZ-A1,73.5,74.57,2015-11-17 16:04:48.082481
Spindle,CZ-A1,89.2,89.92,2015-11-17 16:05:34.635991
Spindle,CZ-A1,93.78,94.59,2015-11-17 16:05:29.386936
Spindle,CZ-A1,107.33,107.82,2015-11-17 16:05:48.318256
Spindle,CZ-A1,113.93,114.9,2015-11-17 16:05:54.216894
Spindle,CZ-A1,118.04,118.45,2015-11-17 16:05:58.873022
Spindle,CZ-A1,120.36,121.08,2015-11-17 16:06:22.107012
Spindle,CZ-A1,151.95,152.65,2015-11-17 16:06:34.625380
Spindle,CZ-A1,192.99,193.66,2015-11-17 16:07:18.680844
Spindle,CZ-A1,200.54,201.6,2015-11-17 16:07:31.175557
Spindle,CZ-A1,217.68,218.56,2015-11-17 16:07:43.821368
Spindle,CZ-A1,220.83,221.89,2015-11-17 16:07:51.352314
Spindle,CZ-A1,222.14,222.79,2015-11-17 16:07:54.030931
Spindle,CZ-A1,252.29,253.46,2015-11-17 16:08:14.862481
Spindle,CZ-A1,271.02,271.86,2015-11-17 16:08:24.713087
Spindle,CZ-A1,276.14,277.34,2015-11-17 16:08:27.768634
Spindle,CZ-A1,301.67,302.75,2015-11-17 16:08:56.172736
Spindle,CZ-A1,307.03,308.77,2015-11-17 16:09:00.258504
Spindle,CZ-A1,332.24,332.94,2015-11-17 16:09:14.252554
Spindle,CZ-A1,346.54,347.92,2015-11-17 16:09:27.425222
Spindle,CZ-A1,355.49,356.77,2015-11-17 16:09:31.147818
Spindle,CZ-A1,366.25,367.31,2015-11-17 16:09:47.341727
Spindle,CZ-A1,389.83,391.81,2015-11-17 16:10:17.524385
Spindle,CZ-A1,389.9,390.57,2015-11-17 16:10:14.101647
Spindle,CZ-A1,403.88,404.76,2015-11-17 16:10:28.449379
Spindle,CZ-A1,416.15,417.7,2015-11-17 16:10:32.935376
Spindle,CZ-A1,449.33,450.33,2015-11-17 16:11:00.844192
Spindle,CZ-A1,450.24,450.49,2015-11-17 16:11:03.283292
Spindle,CZ-A1,472.47,473.55,2015-11-17 16:11:18.918512
Spindle,CZ-A1,473.93,474.52,2015-11-17 16:11:24.038329
Spindle,CZ-A1,480.93,482.03,2015-11-17 16:11:40.014248
Spindle,CZ-A1,483.99,484.69,2015-11-17 16:11:43.091066
Spindle,CZ-A1,488.32,489.29,2015-11-17 16:11:54.648061
Spindle,CZ-A1,491.14,492.2,2015-11-17 16:11:50.890912
Spindle,CZ-A1,511.54,512.49,2015-11-17 16:12:09.728769
