feature_type,channel,start,end,annotation_time
Spindle,C3-A1,282.44,282.79,2015-11-11 17:20:39.504911
Spindle,C3-A1,290.33,291.03,2015-11-11 17:20:52.049143
Spindle,C3-A1,293.35,293.98,2015-11-11 17:20:56.719450
Spindle,C3-A1,311.48,311.93,2015-11-11 17:21:46.713619
Spindle,C3-A1,313.58,314.02,2015-11-11 17:22:03.160465
Spindle,C3-A1,340.25,340.75,2015-11-11 17:22:34.636542
Spindle,C3-A1,345.5,345.84,2015-11-11 17:22:42.498745
Spindle,C3-A1,393.24,393.62,2015-11-11 17:23:23.590179
Spindle,C3-A1,396.82,397.48,2015-11-11 17:23:14.722225
Spindle,C3-A1,402.62,403.14,2015-11-11 17:23:33.621454
Spindle,C3-A1,407.31,407.6,2015-11-11 17:24:03.618417
Spindle,C3-A1,409.15,409.45,2015-11-11 17:23:57.659793
Spindle,C3-A1,440.99,441.81,2015-11-11 17:24:59.073318
Spindle,C3-A1,444.47,444.96,2015-11-11 17:25:03.411620
Spindle,C3-A1,453.89,454.43,2015-11-11 17:24:50.528316
Spindle,C3-A1,470.94,472.81,2015-11-11 17:25:29.572513
Spindle,C3-A1,522.25,522.89,2015-11-11 17:26:51.188096
Spindle,C3-A1,528.63,529.42,2015-11-11 17:26:55.852372
Spindle,C3-A1,540.77,541.35,2015-11-11 17:27:06.571355
Spindle,C3-A1,553.03,553.73,2015-11-11 17:27:11.895555
Spindle,C3-A1,575.78,576.64,2015-11-11 17:27:39.698494
Spindle,C3-A1,581.13,581.94,2015-11-11 17:28:12.218757
Spindle,C3-A1,631.97,632.51,2015-11-11 17:29:18.914988
Spindle,C3-A1,637.14,638.06,2015-11-11 17:29:26.742634
Spindle,C3-A1,648.5,648.97,2015-11-11 17:30:11.616597
Spindle,C3-A1,650.6,650.98,2015-11-11 17:30:16.896178
Spindle,C3-A1,665.71,666.42,2015-11-11 17:30:37.100979
Spindle,C3-A1,678.04,678.6,2015-11-11 17:30:41.723208
Spindle,C3-A1,686.33,686.81,2015-11-11 17:31:14.671778
Spindle,C3-A1,688.64,689.16,2015-11-11 17:31:05.168548
Spindle,C3-A1,702.84,703.32,2015-11-11 17:31:32.003375
Spindle,C3-A1,708.39,709.0,2015-11-11 17:31:27.965467
Spindle,C3-A1,728.77,729.42,2015-11-11 17:31:54.243744
Spindle,C3-A1,735.36,736.14,2015-11-11 17:31:51.368267
Spindle,C3-A1,743.05,743.68,2015-11-11 17:32:13.842764
Spindle,C3-A1,749.9,750.8,2015-11-11 17:32:23.604818
Spindle,C3-A1,759.57,759.91,2015-11-11 17:32:19.230166
Spindle,C3-A1,811.41,812.61,2015-11-11 17:33:07.249671
Spindle,C3-A1,814.29,815.08,2015-11-11 17:33:10.524125
Spindle,C3-A1,826.5,827.26,2015-11-11 17:33:26.863457
Spindle,C3-A1,834.23,834.97,2015-11-11 17:33:29.789376
Spindle,C3-A1,847.44,848.57,2015-11-11 17:33:42.850180
Spindle,C3-A1,895.88,896.57,2015-11-11 17:34:14.458407
Spindle,C3-A1,926.5,927.17,2015-11-11 17:35:40.393901
Spindle,C3-A1,939.17,939.57,2015-11-11 17:35:45.103466
Spindle,C3-A1,960.31,961.13,2015-11-11 17:38:40.588482
Spindle,C3-A1,975.51,976.46,2015-11-11 17:38:33.707203
Spindle,C3-A1,992.6,993.41,2015-11-11 17:38:54.448770
Spindle,C3-A1,1013.44,1014.05,2015-11-11 17:39:16.340349
Spindle,C3-A1,1015.53,1016.17,2015-11-11 17:39:11.419220
