feature_type,channel,start,end,annotation_time
Spindle,C3-A1,339.66,340.0,2015-11-11 16:46:02.749673
Spindle,C3-A1,345.43,345.93,2015-11-11 16:46:27.312881
Spindle,C3-A1,367.03,367.53,2015-11-11 16:46:56.627219
Spindle,C3-A1,373.69,374.5,2015-11-11 16:47:04.515920
Spindle,C3-A1,393.01,393.98,2015-11-11 16:47:35.073547
Spindle,C3-A1,409.13,409.51,2015-11-11 16:48:07.036886
Spindle,C3-A1,422.96,423.5,2015-11-11 16:48:25.158689
Spindle,C3-A1,441.04,441.98,2015-11-11 16:48:53.089245
Spindle,C3-A1,443.94,445.0,2015-11-11 16:49:04.270607
Spindle,C3-A1,453.96,454.52,2015-11-11 16:49:08.877493
Spindle,C3-A1,467.69,468.48,2015-11-11 16:49:27.851222
Spindle,C3-A1,525.1,525.97,2015-11-11 16:50:39.487647
Spindle,C3-A1,540.72,541.4,2015-11-11 16:50:50.207048
Spindle,C3-A1,544.01,544.62,2015-11-11 16:50:57.295627
Spindle,C3-A1,552.97,553.71,2015-11-11 16:51:04.419321
Spindle,C3-A1,560.5,561.01,2015-11-11 16:51:23.776273
Spindle,C3-A1,575.81,576.55,2015-11-11 16:51:18.225765
Spindle,C3-A1,580.99,581.74,2015-11-11 16:51:32.713809
Spindle,C3-A1,595.26,595.58,2015-11-11 16:51:40.204450
Spindle,C3-A1,607.03,607.48,2015-11-11 16:51:50.465523
Spindle,C3-A1,610.75,611.11,2015-11-11 16:51:53.741415
Spindle,C3-A1,617.47,618.33,2015-11-11 16:52:02.624795
Spindle,C3-A1,631.86,632.51,2015-11-11 16:52:16.522352
Spindle,C3-A1,637.34,638.36,2015-11-11 16:52:30.020375
Spindle,C3-A1,645.84,646.58,2015-11-11 16:52:45.816659
Spindle,C3-A1,648.55,649.06,2015-11-11 16:52:49.238984
Spindle,C3-A1,650.44,651.02,2015-11-11 16:52:53.058159
Spindle,C3-A1,652.31,652.65,2015-11-11 16:52:56.120282
Spindle,C3-A1,654.65,655.13,2015-11-11 16:53:04.254802
Spindle,C3-A1,656.57,656.87,2015-11-11 16:53:07.981610
Spindle,C3-A1,665.71,666.85,2015-11-11 16:53:24.700998
Spindle,C3-A1,677.5,677.72,2015-11-11 16:53:33.840260
Spindle,C3-A1,677.72,678.02,2015-11-11 16:53:35.560270
Spindle,C3-A1,678.02,678.74,2015-11-11 16:53:30.444065
Spindle,C3-A1,686.09,687.01,2015-11-11 16:53:54.301016
Spindle,C3-A1,688.72,689.31,2015-11-11 16:53:58.063484
Spindle,C3-A1,692.99,694.02,2015-11-11 16:54:06.051343
Spindle,C3-A1,702.64,703.32,2015-11-11 16:54:14.888373
Spindle,C3-A1,708.41,709.06,2015-11-11 16:54:18.879132
Spindle,C3-A1,728.84,729.43,2015-11-11 16:54:30.894654
Spindle,C3-A1,735.35,736.24,2015-11-11 16:54:33.694496
Spindle,C3-A1,742.98,744.01,2015-11-11 16:54:47.517563
Spindle,C3-A1,759.5,760.0,2015-11-11 16:55:02.495352
Spindle,C3-A1,781.74,782.43,2015-11-11 16:55:32.043763
Spindle,C3-A1,788.34,789.31,2015-11-11 16:55:36.931397
Spindle,C3-A1,795.83,796.32,2015-11-11 16:55:41.909348
Spindle,C3-A1,796.32,796.6,2015-11-11 16:55:45.440569
Spindle,C3-A1,802.95,803.59,2015-11-11 16:55:58.855840
Spindle,C3-A1,811.0,812.63,2015-11-11 16:56:04.253955
Spindle,C3-A1,814.11,815.18,2015-11-11 16:56:08.801619
Spindle,C3-A1,826.5,827.26,2015-11-11 16:56:18.723982
Spindle,C3-A1,834.21,835.38,2015-11-11 16:56:22.974535
Spindle,C3-A1,835.94,837.02,2015-11-11 16:56:29.198960
Spindle,C3-A1,847.31,848.7,2015-11-11 16:56:43.283071
Spindle,C3-A1,849.97,850.55,2015-11-11 16:56:55.207783
Spindle,C3-A1,894.0,894.72,2015-11-11 16:57:19.422064
Spindle,C3-A1,895.97,896.71,2015-11-11 16:57:16.361886
Spindle,C3-A1,916.71,917.47,2015-11-11 16:57:37.622851
Spindle,C3-A1,926.45,927.03,2015-11-11 16:58:02.898597
Spindle,C3-A1,939.16,939.57,2015-11-11 16:57:49.682570
Spindle,C3-A1,946.06,947.1,2015-11-11 16:58:11.774099
Spindle,C3-A1,947.49,948.0,2015-11-11 16:58:16.017035
Spindle,C3-A1,960.02,961.49,2015-11-11 16:58:36.142461
Spindle,C3-A1,975.51,976.51,2015-11-11 16:58:42.359464
Spindle,C3-A1,992.51,993.5,2015-11-11 16:58:53.279867
Spindle,C3-A1,996.39,997.04,2015-11-11 16:59:02.250910
Spindle,C3-A1,1003.95,1004.94,2015-11-11 17:00:06.886482
Spindle,C3-A1,1015.26,1016.23,2015-11-11 16:59:17.238635
Spindle,C3-A1,1021.04,1021.81,2015-11-11 17:00:15.418146
Spindle,C3-A1,1022.14,1022.79,2015-11-11 17:00:25.894316
Spindle,C3-A1,1037.79,1038.78,2015-11-11 17:00:21.656532
