feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,0.63,1.24,2015-11-17 15:58:11.030551
Spindle,CZ-A1,8.93,8.97,2015-11-17 15:58:24.376744
Spindle,CZ-A1,8.97,9.42,2015-11-17 15:58:20.049593
Spindle,CZ-A1,10.13,10.96,2015-11-17 15:58:30.782256
Spindle,CZ-A1,44.46,44.92,2015-11-17 15:59:10.514391
Spindle,CZ-A1,58.9,59.71,2015-11-17 15:59:14.603802
Spindle,CZ-A1,73.75,74.68,2015-11-17 15:59:24.369511
Spindle,CZ-A1,89.25,89.99,2015-11-17 15:59:30.793253
Spindle,CZ-A1,94.02,94.59,2015-11-17 15:59:33.734790
Spindle,CZ-A1,107.4,107.85,2015-11-17 15:59:40.750931
Spindle,CZ-A1,120.54,121.08,2015-11-17 15:59:49.495379
Spindle,CZ-A1,127.22,127.82,2015-11-17 15:59:51.683658
Spindle,CZ-A1,130.82,131.55,2015-11-17 15:59:53.796638
Spindle,CZ-A1,144.85,145.48,2015-11-17 16:00:02.909542
Spindle,CZ-A1,152.02,152.52,2015-11-17 16:00:06.336786
Spindle,CZ-A1,162.55,163.99,2015-11-17 16:00:14.218078
Spindle,CZ-A1,166.29,167.31,2015-11-17 16:00:19.111091
Spindle,CZ-A1,169.07,169.7,2015-11-17 16:00:17.733977
Spindle,CZ-A1,193.06,193.62,2015-11-17 16:00:29.471715
Spindle,CZ-A1,193.23,193.42,2015-11-17 16:00:28.166417
Spindle,CZ-A1,200.52,201.42,2015-11-17 16:00:34.802292
Spindle,CZ-A1,217.95,218.51,2015-11-17 16:00:38.263730
Spindle,CZ-A1,220.92,221.83,2015-11-17 16:00:46.366134
Spindle,CZ-A1,222.3,222.79,2015-11-17 16:00:44.919551
Spindle,CZ-A1,228.57,229.06,2015-11-17 16:00:47.980541
Spindle,CZ-A1,252.31,253.53,2015-11-17 16:00:54.339350
Spindle,CZ-A1,271.21,271.81,2015-11-17 16:01:01.584741
Spindle,CZ-A1,287.67,288.3,2015-11-17 16:01:07.975733
Spindle,CZ-A1,295.42,296.86,2015-11-17 16:01:09.817947
Spindle,CZ-A1,307.06,308.59,2015-11-17 16:01:14.745583
Spindle,CZ-A1,332.02,333.08,2015-11-17 16:01:20.859331
Spindle,CZ-A1,343.04,344.19,2015-11-17 16:01:25.891398
Spindle,CZ-A1,346.76,347.31,2015-11-17 16:01:28.147149
Spindle,CZ-A1,346.92,347.78,2015-11-17 16:01:27.372065
Spindle,CZ-A1,355.99,356.51,2015-11-17 16:01:33.668299
Spindle,CZ-A1,366.67,367.01,2015-11-17 16:01:41.887616
Spindle,CZ-A1,366.9,367.15,2015-11-17 16:01:40.934474
Spindle,CZ-A1,389.72,391.82,2015-11-17 16:01:47.004325
Spindle,CZ-A1,403.95,404.51,2015-11-17 16:01:54.901024
Spindle,CZ-A1,416.21,418.06,2015-11-17 16:01:52.113444
Spindle,CZ-A1,427.39,428.86,2015-11-17 16:02:02.680733
Spindle,CZ-A1,440.65,441.24,2015-11-17 16:02:07.591630
Spindle,CZ-A1,449.87,451.02,2015-11-17 16:02:10.016346
Spindle,CZ-A1,466.4,467.31,2015-11-17 16:02:15.225415
