feature_type,channel,start,end,annotation_time
Spindle,C3-A1,281.8,282.77,2015-11-11 14:42:34.692004
Spindle,C3-A1,311.46,314.0,2015-11-11 14:43:26.996850
Spindle,C3-A1,340.29,340.79,2015-11-11 14:44:23.532003
Spindle,C3-A1,367.03,367.49,2015-11-11 14:45:47.141165
Spindle,C3-A1,396.75,397.41,2015-11-11 14:46:04.514150
Spindle,C3-A1,407.13,407.65,2015-11-11 14:46:48.048730
Spindle,C3-A1,418.13,418.72,2015-11-11 14:46:56.909095
Spindle,C3-A1,422.98,423.49,2015-11-11 14:47:18.167393
Spindle,C3-A1,437.21,438.49,2015-11-11 14:47:10.227022
Spindle,C3-A1,441.1,441.85,2015-11-11 14:47:34.624151
Spindle,C3-A1,453.93,454.45,2015-11-11 14:47:51.502887
Spindle,C3-A1,468.28,468.28,2015-11-11 14:48:18.590284
Spindle,C3-A1,468.7,468.7,2015-11-11 14:48:23.363203
Spindle,C3-A1,469.11,475.04,2015-11-11 14:49:01.342214
Spindle,C3-A1,500.9,501.17,2015-11-11 14:50:24.693601
Spindle,C3-A1,528.59,529.4,2015-11-11 14:50:37.597335
Spindle,C3-A1,532.67,533.19,2015-11-11 14:50:46.390903
Spindle,C3-A1,540.81,541.31,2015-11-11 14:50:58.796191
Spindle,C3-A1,543.86,544.98,2015-11-11 14:51:02.809105
Spindle,C3-A1,553.06,553.67,2015-11-11 14:51:07.438491
Spindle,C3-A1,560.0,560.95,2015-11-11 14:51:17.365505
Spindle,C3-A1,575.96,576.87,2015-11-11 14:51:20.425036
Spindle,C3-A1,580.45,581.81,2015-11-11 14:51:30.720110
Spindle,C3-A1,595.11,595.63,2015-11-11 14:51:39.539157
Spindle,C3-A1,607.19,608.01,2015-11-11 14:52:09.755608
Spindle,C3-A1,610.8,611.09,2015-11-11 14:52:03.801071
Spindle,C3-A1,617.52,618.31,2015-11-11 14:51:54.928504
Spindle,C3-A1,631.37,632.47,2015-11-11 14:52:23.905946
Spindle,C3-A1,637.36,638.27,2015-11-11 14:52:18.716075
Spindle,C3-A1,650.26,651.72,2015-11-11 14:52:40.317693
Spindle,C3-A1,665.75,666.81,2015-11-11 14:52:57.032435
Spindle,C3-A1,678.01,678.78,2015-11-11 14:53:03.008709
Spindle,C3-A1,686.02,687.35,2015-11-11 14:53:23.305747
Spindle,C3-A1,688.73,689.45,2015-11-11 14:53:20.262073
Spindle,C3-A1,692.88,694.25,2015-11-11 14:53:16.873036
Spindle,C3-A1,702.66,703.25,2015-11-11 14:53:30.519843
Spindle,C3-A1,708.07,709.04,2015-11-11 14:53:32.550943
Spindle,C3-A1,728.86,729.51,2015-11-11 14:53:49.102278
Spindle,C3-A1,735.42,736.23,2015-11-11 14:53:52.399683
Spindle,C3-A1,743.02,743.81,2015-11-11 14:54:01.340286
Spindle,C3-A1,759.53,760.0,2015-11-11 14:54:04.215922
Spindle,C3-A1,776.68,777.97,2015-11-11 14:54:20.750811
Spindle,C3-A1,788.05,789.72,2015-11-11 14:54:27.306227
