feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,8.88,9.43,2015-11-17 15:11:37.829958
Spindle,CZ-A1,9.71,10.99,2015-11-17 15:11:47.014818
Spindle,CZ-A1,22.62,23.52,2015-11-17 15:12:30.680328
Spindle,CZ-A1,44.31,45.23,2015-11-17 15:13:04.874937
Spindle,CZ-A1,50.25,51.44,2015-11-17 15:13:16.510271
Spindle,CZ-A1,58.8,59.72,2015-11-17 15:13:21.087509
Spindle,CZ-A1,73.64,74.51,2015-11-17 15:13:36.013002
Spindle,CZ-A1,89.2,89.99,2015-11-17 15:13:58.007279
Spindle,CZ-A1,93.64,94.92,2015-11-17 15:14:01.954970
Spindle,CZ-A1,114.0,115.16,2015-11-17 15:14:23.398035
Spindle,CZ-A1,126.96,128.0,2015-11-17 15:14:59.096456
Spindle,CZ-A1,144.42,145.98,2015-11-17 15:15:15.714464
Spindle,CZ-A1,163.39,164.14,2015-11-17 15:15:38.360001
Spindle,CZ-A1,193.02,194.11,2015-11-17 15:15:54.421089
Spindle,CZ-A1,200.49,201.52,2015-11-17 15:16:10.420662
Spindle,CZ-A1,220.64,221.81,2015-11-17 15:16:38.873222
Spindle,CZ-A1,252.62,253.53,2015-11-17 15:17:14.473925
Spindle,CZ-A1,255.95,257.06,2015-11-17 15:17:18.108548
Spindle,CZ-A1,271.06,272.06,2015-11-17 15:17:36.938102
Spindle,CZ-A1,276.2,277.16,2015-11-17 15:17:39.779110
Spindle,CZ-A1,286.81,287.88,2015-11-17 15:19:06.638250
Spindle,CZ-A1,290.5,291.42,2015-11-17 15:18:39.595442
Spindle,CZ-A1,294.17,294.51,2015-11-17 15:18:42.964383
Spindle,CZ-A1,296.01,297.03,2015-11-17 15:19:03.849112
Spindle,CZ-A1,301.99,302.97,2015-11-17 15:19:32.356083
Spindle,CZ-A1,307.47,308.69,2015-11-17 15:19:39.100436
Spindle,CZ-A1,332.02,333.25,2015-11-17 15:19:56.823718
Spindle,CZ-A1,343.01,344.23,2015-11-17 15:20:28.630258
Spindle,CZ-A1,346.68,347.64,2015-11-17 15:20:25.235434
Spindle,CZ-A1,355.56,356.97,2015-11-17 15:20:17.282054
Spindle,CZ-A1,366.3,367.41,2015-11-17 15:21:18.259634
Spindle,CZ-A1,390.82,391.89,2015-11-17 15:21:41.203319
Spindle,CZ-A1,397.91,398.97,2015-11-17 15:21:35.395863
Spindle,CZ-A1,403.67,404.67,2015-11-17 15:21:57.603150
Spindle,CZ-A1,416.44,417.44,2015-11-17 15:22:06.170482
Spindle,CZ-A1,427.53,428.41,2015-11-17 15:22:57.626260
Spindle,CZ-A1,440.45,441.43,2015-11-17 15:23:57.661583
Spindle,CZ-A1,472.53,473.51,2015-11-17 15:24:15.443677
Spindle,CZ-A1,480.96,482.24,2015-11-17 15:24:23.208818
Spindle,CZ-A1,484.06,484.72,2015-11-17 15:24:25.021853
Spindle,CZ-A1,488.64,489.28,2015-11-17 15:24:26.778049
Spindle,CZ-A1,491.33,492.06,2015-11-17 15:24:29.107061
Spindle,CZ-A1,511.78,512.36,2015-11-17 15:24:56.434965
Spindle,CZ-A1,536.93,538.04,2015-11-17 15:25:45.938799
Spindle,CZ-A1,541.9,542.75,2015-11-17 15:25:59.202578
Spindle,CZ-A1,553.73,554.75,2015-11-17 15:26:01.979659
Spindle,CZ-A1,560.08,561.07,2015-11-17 15:26:23.585532
Spindle,CZ-A1,567.58,568.69,2015-11-17 15:26:29.547977
Spindle,CZ-A1,575.01,576.31,2015-11-17 15:26:33.923653
Spindle,CZ-A1,589.31,590.37,2015-11-17 15:26:49.667202
Spindle,CZ-A1,602.41,603.12,2015-11-17 15:27:25.976857
Spindle,CZ-A1,626.23,627.45,2015-11-17 15:28:30.032738
Spindle,CZ-A1,628.71,629.14,2015-11-17 15:28:31.435231
Spindle,CZ-A1,644.21,644.52,2015-11-17 15:28:46.785118
Spindle,CZ-A1,658.78,659.74,2015-11-17 15:28:43.954432
Spindle,CZ-A1,677.89,679.19,2015-11-17 15:29:11.926090
Spindle,CZ-A1,687.45,687.88,2015-11-17 15:29:21.122490
Spindle,CZ-A1,695.15,695.71,2015-11-17 15:29:19.277372
Spindle,CZ-A1,718.53,719.55,2015-11-17 15:30:25.553381
Spindle,CZ-A1,726.66,727.64,2015-11-17 15:30:36.779961
Spindle,CZ-A1,728.88,729.71,2015-11-17 15:30:37.993491
Spindle,CZ-A1,735.3,736.39,2015-11-17 15:30:39.411448
Spindle,CZ-A1,742.67,743.44,2015-11-17 15:30:51.688412
Spindle,CZ-A1,748.28,749.18,2015-11-17 15:30:55.099778
Spindle,CZ-A1,774.49,775.69,2015-11-17 15:32:08.571607
Spindle,CZ-A1,781.6,782.39,2015-11-17 15:32:20.610459
Spindle,CZ-A1,817.31,818.57,2015-11-17 15:32:35.862324
Spindle,CZ-A1,831.51,832.49,2015-11-17 15:32:52.888398
Spindle,CZ-A1,833.98,835.13,2015-11-17 15:32:56.775562
Spindle,CZ-A1,845.55,846.62,2015-11-17 15:33:10.648385
Spindle,CZ-A1,848.22,849.24,2015-11-17 15:33:13.369386
Spindle,CZ-A1,852.19,853.28,2015-11-17 15:33:15.884939
Spindle,CZ-A1,854.88,855.84,2015-11-17 15:33:19.263734
Spindle,CZ-A1,856.63,857.95,2015-11-17 15:33:21.602860
Spindle,CZ-A1,870.01,871.36,2015-11-17 15:33:35.825204
Spindle,CZ-A1,873.3,874.26,2015-11-17 15:33:38.927653
Spindle,CZ-A1,881.09,882.75,2015-11-17 15:33:51.162816
Spindle,CZ-A1,887.51,888.28,2015-11-17 15:33:52.727919
Spindle,CZ-A1,906.13,907.04,2015-11-17 15:34:07.742400
Spindle,CZ-A1,908.64,909.41,2015-11-17 15:34:08.851855
Spindle,CZ-A1,913.53,914.36,2015-11-17 15:34:05.621912
Spindle,CZ-A1,920.04,921.17,2015-11-17 15:34:36.259635
Spindle,CZ-A1,935.56,937.1,2015-11-17 15:34:41.124755
Spindle,CZ-A1,943.78,944.84,2015-11-17 15:34:55.395460
Spindle,CZ-A1,945.12,945.89,2015-11-17 15:34:57.452329
Spindle,CZ-A1,953.32,954.36,2015-11-17 15:35:00.090369
Spindle,CZ-A1,955.24,956.22,2015-11-17 15:35:02.427565
Spindle,CZ-A1,964.7,965.91,2015-11-17 15:35:17.374580
Spindle,CZ-A1,969.43,970.1,2015-11-17 15:35:21.664592
Spindle,CZ-A1,973.11,974.47,2015-11-17 15:35:24.489189
Spindle,CZ-A1,976.82,977.93,2015-11-17 15:35:26.139899
Spindle,CZ-A1,987.0,987.64,2015-11-17 15:35:36.495159
Spindle,CZ-A1,992.19,993.08,2015-11-17 15:35:34.097188
Spindle,CZ-A1,1005.87,1006.9,2015-11-17 15:35:59.450216
Spindle,CZ-A1,1017.63,1018.83,2015-11-17 15:36:02.611817
Spindle,CZ-A1,1025.53,1025.98,2015-11-17 15:36:13.739342
Spindle,CZ-A1,1037.65,1038.25,2015-11-17 15:36:11.096151
Spindle,CZ-A1,1045.49,1046.6,2015-11-17 15:36:29.125263
Spindle,CZ-A1,1068.5,1069.56,2015-11-17 15:36:45.356933
Spindle,CZ-A1,1075.79,1076.61,2015-11-17 15:36:48.483395
Spindle,CZ-A1,1083.67,1084.42,2015-11-17 15:36:56.182187
Spindle,CZ-A1,1090.99,1091.97,2015-11-17 15:36:57.535094
Spindle,CZ-A1,1098.89,1099.94,2015-11-17 15:36:58.910633
