feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,0.75,1.29,2015-11-17 14:52:31.554641
Spindle,CZ-A1,9.72,10.98,2015-11-17 14:52:57.074265
Spindle,CZ-A1,32.35,33.57,2015-11-17 14:54:20.305722
Spindle,CZ-A1,34.57,35.36,2015-11-17 14:54:03.238397
Spindle,CZ-A1,44.28,44.91,2015-11-17 14:54:36.540275
Spindle,CZ-A1,58.92,59.86,2015-11-17 14:54:43.177129
Spindle,CZ-A1,73.55,74.61,2015-11-17 14:55:16.403657
Spindle,CZ-A1,74.48,75.45,2015-11-17 14:55:43.765078
Spindle,CZ-A1,89.16,90.33,2015-11-17 14:56:14.136157
Spindle,CZ-A1,93.82,94.73,2015-11-17 14:56:04.318837
Spindle,CZ-A1,114.09,114.75,2015-11-17 14:57:15.300029
Spindle,CZ-A1,127.15,127.98,2015-11-17 14:57:48.321230
Spindle,CZ-A1,144.03,144.69,2015-11-17 14:58:10.653530
Spindle,CZ-A1,162.8,164.01,2015-11-17 14:58:42.528677
Spindle,CZ-A1,192.97,193.66,2015-11-17 14:59:48.171272
Spindle,CZ-A1,200.45,201.29,2015-11-17 15:00:07.319678
Spindle,CZ-A1,221.01,221.92,2015-11-17 15:00:31.895648
Spindle,CZ-A1,252.11,253.48,2015-11-17 15:01:23.861841
Spindle,CZ-A1,256.17,257.07,2015-11-17 15:01:25.990791
Spindle,CZ-A1,271.3,272.09,2015-11-17 15:01:45.886532
Spindle,CZ-A1,276.51,277.11,2015-11-17 15:01:49.587412
Spindle,CZ-A1,286.24,286.86,2015-11-17 15:02:20.598039
Spindle,CZ-A1,287.37,288.27,2015-11-17 15:02:24.807835
Spindle,CZ-A1,291.79,293.05,2015-11-17 15:02:37.399234
Spindle,CZ-A1,296.15,296.93,2015-11-17 15:02:40.633207
Spindle,CZ-A1,301.99,302.57,2015-11-17 15:02:58.791617
Spindle,CZ-A1,307.15,308.55,2015-11-17 15:03:00.950218
Spindle,CZ-A1,331.88,332.96,2015-11-17 15:03:24.411796
Spindle,CZ-A1,333.1,333.64,2015-11-17 15:03:25.674818
Spindle,CZ-A1,343.56,344.37,2015-11-17 15:03:51.388214
Spindle,CZ-A1,346.67,347.76,2015-11-17 15:03:39.489543
Spindle,CZ-A1,355.63,356.46,2015-11-17 15:03:43.632149
Spindle,CZ-A1,366.63,367.21,2015-11-17 15:04:05.684723
Spindle,CZ-A1,390.58,391.75,2015-11-17 15:04:33.426742
Spindle,CZ-A1,403.88,404.82,2015-11-17 15:04:51.226523
Spindle,CZ-A1,416.15,417.63,2015-11-17 15:04:59.756749
Spindle,CZ-A1,427.73,428.73,2015-11-17 15:05:15.792118
Spindle,CZ-A1,440.74,441.31,2015-11-17 15:05:37.278265
Spindle,CZ-A1,472.52,473.84,2015-11-17 15:06:06.434552
Spindle,CZ-A1,480.93,481.8,2015-11-17 15:06:36.168135
Spindle,CZ-A1,483.86,484.73,2015-11-17 15:06:38.802848
Spindle,CZ-A1,488.43,489.27,2015-11-17 15:06:45.257978
Spindle,CZ-A1,511.54,512.45,2015-11-17 15:07:21.683322
Spindle,CZ-A1,515.71,516.98,2015-11-17 15:07:22.993959
Spindle,CZ-A1,517.54,519.01,2015-11-17 15:07:23.867722
Spindle,CZ-A1,537.41,538.2,2015-11-17 15:07:44.662628
Spindle,CZ-A1,541.64,542.52,2015-11-17 15:08:01.591867
Spindle,CZ-A1,554.32,555.33,2015-11-17 15:08:08.346935
Spindle,CZ-A1,560.11,561.55,2015-11-17 15:08:25.273762
Spindle,CZ-A1,568.23,569.24,2015-11-17 15:08:31.780492
Spindle,CZ-A1,574.88,576.96,2015-11-17 15:08:36.852443
Spindle,CZ-A1,589.27,590.62,2015-11-17 15:08:53.176650
Spindle,CZ-A1,602.19,603.22,2015-11-17 15:09:07.423641
Spindle,CZ-A1,626.29,627.55,2015-11-17 15:09:31.556377
Spindle,CZ-A1,653.14,654.41,2015-11-17 15:09:58.500763
Spindle,CZ-A1,658.99,659.84,2015-11-17 15:10:01.667373
Spindle,CZ-A1,677.9,678.96,2015-11-17 15:10:18.226416
Spindle,CZ-A1,694.82,696.01,2015-11-17 15:10:44.012483
Spindle,CZ-A1,718.65,719.28,2015-11-17 15:11:07.747625
Spindle,CZ-A1,726.9,727.71,2015-11-17 15:11:35.414176
Spindle,CZ-A1,728.55,729.54,2015-11-17 15:11:36.919233
Spindle,CZ-A1,735.36,736.41,2015-11-17 15:11:42.149587
Spindle,CZ-A1,742.39,743.34,2015-11-17 15:12:13.822504
Spindle,CZ-A1,748.03,749.2,2015-11-17 15:12:18.866962
Spindle,CZ-A1,774.66,775.78,2015-11-17 15:12:52.191713
Spindle,CZ-A1,781.67,782.39,2015-11-17 15:13:06.868734
Spindle,CZ-A1,817.36,818.42,2015-11-17 15:13:33.858958
Spindle,CZ-A1,831.0,832.58,2015-11-17 15:14:01.605266
Spindle,CZ-A1,834.16,834.99,2015-11-17 15:14:02.897244
Spindle,CZ-A1,845.91,846.76,2015-11-17 15:14:21.147052
Spindle,CZ-A1,847.65,848.19,2015-11-17 15:14:22.339364
Spindle,CZ-A1,852.06,852.76,2015-11-17 15:14:24.983449
Spindle,CZ-A1,854.68,855.33,2015-11-17 15:14:27.725139
Spindle,CZ-A1,857.0,858.02,2015-11-17 15:14:28.839961
Spindle,CZ-A1,870.12,871.3,2015-11-17 15:14:52.855112
Spindle,CZ-A1,873.73,874.23,2015-11-17 15:14:58.164743
Spindle,CZ-A1,881.04,881.71,2015-11-17 15:15:14.930809
Spindle,CZ-A1,895.38,896.21,2015-11-17 15:15:22.930750
Spindle,CZ-A1,906.04,906.83,2015-11-17 15:15:38.016985
Spindle,CZ-A1,908.48,909.25,2015-11-17 15:15:39.338497
Spindle,CZ-A1,913.03,914.27,2015-11-17 15:15:43.072064
Spindle,CZ-A1,920.07,920.83,2015-11-17 15:16:02.960404
Spindle,CZ-A1,935.36,936.64,2015-11-17 15:16:15.292574
Spindle,CZ-A1,943.81,944.58,2015-11-17 15:16:31.802726
Spindle,CZ-A1,945.12,945.93,2015-11-17 15:16:33.253965
Spindle,CZ-A1,951.97,952.67,2015-11-17 15:16:40.260446
Spindle,CZ-A1,955.17,956.08,2015-11-17 15:16:35.766926
Spindle,CZ-A1,964.78,965.79,2015-11-17 15:16:51.801072
