feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,8.88,9.38,2015-11-17 12:01:05.193340
Spindle,CZ-A1,44.22,45.0,2015-11-17 12:01:57.776135
Spindle,CZ-A1,58.94,59.73,2015-11-17 12:01:41.996693
Spindle,CZ-A1,73.57,74.61,2015-11-17 12:02:07.913716
Spindle,CZ-A1,89.22,89.94,2015-11-17 12:02:13.984805
Spindle,CZ-A1,93.96,94.66,2015-11-17 12:02:16.005625
Spindle,CZ-A1,107.12,108.01,2015-11-17 12:02:31.481473
Spindle,CZ-A1,113.98,114.95,2015-11-17 12:02:28.169749
Spindle,CZ-A1,120.47,121.13,2015-11-17 12:02:38.819660
Spindle,CZ-A1,127.01,127.76,2015-11-17 12:02:41.458708
Spindle,CZ-A1,130.93,131.77,2015-11-17 12:02:43.531189
Spindle,CZ-A1,144.92,145.79,2015-11-17 12:02:53.173460
Spindle,CZ-A1,151.99,152.81,2015-11-17 12:02:49.737160
Spindle,CZ-A1,163.32,164.2,2015-11-17 12:03:01.362560
Spindle,CZ-A1,169.07,169.87,2015-11-17 12:03:06.535992
Spindle,CZ-A1,193.1,193.85,2015-11-17 12:03:17.700780
Spindle,CZ-A1,200.63,201.56,2015-11-17 12:03:26.806859
Spindle,CZ-A1,217.59,218.6,2015-11-17 12:03:31.214494
Spindle,CZ-A1,221.02,221.8,2015-11-17 12:03:42.596251
Spindle,CZ-A1,228.46,229.15,2015-11-17 12:03:51.129839
Spindle,CZ-A1,252.06,253.42,2015-11-17 12:04:00.704905
Spindle,CZ-A1,256.21,257.07,2015-11-17 12:04:03.044843
Spindle,CZ-A1,270.84,272.09,2015-11-17 12:04:10.582068
Spindle,CZ-A1,276.26,277.41,2015-11-17 12:04:12.466334
Spindle,CZ-A1,291.77,293.35,2015-11-17 12:04:25.155069
Spindle,CZ-A1,295.29,297.04,2015-11-17 12:04:24.018764
Spindle,CZ-A1,307.26,308.98,2015-11-17 12:04:34.452889
Spindle,CZ-A1,309.92,311.3,2015-11-17 12:04:35.839048
Spindle,CZ-A1,318.15,319.19,2015-11-17 12:04:38.526069
Spindle,CZ-A1,331.79,333.24,2015-11-17 12:04:45.864373
Spindle,CZ-A1,342.86,344.12,2015-11-17 12:04:53.792468
Spindle,CZ-A1,346.67,348.16,2015-11-17 12:04:51.541350
Spindle,CZ-A1,351.32,352.63,2015-11-17 12:04:56.649398
Spindle,CZ-A1,355.6,356.78,2015-11-17 12:04:58.157572
Spindle,CZ-A1,366.04,367.31,2015-11-17 12:05:07.701609
Spindle,CZ-A1,376.08,377.5,2015-11-17 12:05:11.436318
Spindle,CZ-A1,389.72,391.75,2015-11-17 12:05:19.532022
Spindle,CZ-A1,397.95,399.12,2015-11-17 12:05:21.929484
Spindle,CZ-A1,403.61,405.3,2015-11-17 12:05:32.699780
Spindle,CZ-A1,416.39,417.97,2015-11-17 12:05:34.656172
Spindle,CZ-A1,423.79,424.98,2015-11-17 12:05:46.474803
Spindle,CZ-A1,426.97,428.97,2015-11-17 12:05:48.355673
Spindle,CZ-A1,472.76,473.87,2015-11-17 12:05:59.909162
Spindle,CZ-A1,480.86,482.3,2015-11-17 12:06:06.593311
Spindle,CZ-A1,484.1,485.19,2015-11-17 12:06:07.885678
Spindle,CZ-A1,488.32,489.31,2015-11-17 12:06:09.581245
Spindle,CZ-A1,491.14,492.35,2015-11-17 12:06:11.389057
Spindle,CZ-A1,511.55,512.79,2015-11-17 12:06:18.409209
Spindle,CZ-A1,526.81,528.63,2015-11-17 12:06:27.099426
Spindle,CZ-A1,537.02,538.42,2015-11-17 12:06:28.341532
Spindle,CZ-A1,541.92,542.95,2015-11-17 12:06:37.227961
Spindle,CZ-A1,554.0,555.47,2015-11-17 12:06:34.033964
Spindle,CZ-A1,560.11,561.64,2015-11-17 12:06:45.110093
Spindle,CZ-A1,575.13,576.75,2015-11-17 12:06:48.208022
Spindle,CZ-A1,581.29,582.93,2015-11-17 12:06:56.323385
Spindle,CZ-A1,589.25,590.87,2015-11-17 12:06:53.628729
Spindle,CZ-A1,601.99,603.41,2015-11-17 12:07:02.937680
Spindle,CZ-A1,608.61,610.06,2015-11-17 12:07:05.169068
Spindle,CZ-A1,625.89,627.51,2015-11-17 12:07:12.583710
Spindle,CZ-A1,632.26,633.46,2015-11-17 12:07:10.388501
Spindle,CZ-A1,652.78,654.32,2015-11-17 12:07:18.259402
Spindle,CZ-A1,658.4,659.62,2015-11-17 12:07:21.403159
Spindle,CZ-A1,664.94,666.2,2015-11-17 12:07:29.989951
Spindle,CZ-A1,669.72,670.85,2015-11-17 12:07:31.893436
Spindle,CZ-A1,687.12,688.52,2015-11-17 12:07:39.058598
Spindle,CZ-A1,694.81,696.12,2015-11-17 12:07:42.015782
Spindle,CZ-A1,700.09,701.42,2015-11-17 12:07:48.685055
Spindle,CZ-A1,718.06,719.46,2015-11-17 12:07:51.841625
Spindle,CZ-A1,723.02,725.64,2015-11-17 12:08:01.349304
Spindle,CZ-A1,728.55,729.6,2015-11-17 12:07:57.861337
Spindle,CZ-A1,734.95,736.55,2015-11-17 12:07:56.198501
Spindle,CZ-A1,742.62,743.94,2015-11-17 12:08:06.693931
Spindle,CZ-A1,747.91,749.7,2015-11-17 12:08:07.686377
Spindle,CZ-A1,756.06,757.7,2015-11-17 12:08:09.443930
Spindle,CZ-A1,762.35,763.74,2015-11-17 12:08:18.072657
Spindle,CZ-A1,774.39,775.96,2015-11-17 12:08:14.026823
Spindle,CZ-A1,780.7,782.73,2015-11-17 12:08:22.957959
Spindle,CZ-A1,817.05,818.53,2015-11-17 12:08:28.591321
Spindle,CZ-A1,830.91,833.01,2015-11-17 12:08:32.714524
Spindle,CZ-A1,833.87,835.27,2015-11-17 12:08:35.197421
Spindle,CZ-A1,844.35,845.73,2015-11-17 12:08:46.098862
