feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,0.66,1.33,2015-11-17 13:19:55.412436
Spindle,CZ-A1,10.12,10.98,2015-11-17 13:20:40.737019
Spindle,CZ-A1,58.78,59.6,2015-11-17 13:21:47.873542
Spindle,CZ-A1,73.67,74.59,2015-11-17 13:22:02.255830
Spindle,CZ-A1,89.15,89.92,2015-11-17 13:22:16.442383
Spindle,CZ-A1,93.94,94.72,2015-11-17 13:22:13.770960
Spindle,CZ-A1,114.02,114.93,2015-11-17 13:22:33.914076
Spindle,CZ-A1,120.43,121.08,2015-11-17 13:23:01.740485
Spindle,CZ-A1,127.12,127.83,2015-11-17 13:23:07.800997
Spindle,CZ-A1,152.02,152.56,2015-11-17 13:23:40.004169
Spindle,CZ-A1,163.4,164.04,2015-11-17 13:26:14.372229
Spindle,CZ-A1,193.08,193.58,2015-11-17 13:26:26.203730
Spindle,CZ-A1,200.54,201.51,2015-11-17 13:26:42.811938
Spindle,CZ-A1,218.04,218.49,2015-11-17 13:26:47.473299
Spindle,CZ-A1,220.7,221.81,2015-11-17 13:27:02.964894
Spindle,CZ-A1,222.3,222.77,2015-11-17 13:27:07.498174
Spindle,CZ-A1,252.43,253.51,2015-11-17 13:27:20.117556
Spindle,CZ-A1,271.12,271.75,2015-11-17 13:27:31.094299
Spindle,CZ-A1,276.37,277.16,2015-11-17 13:27:38.190301
Spindle,CZ-A1,287.87,288.27,2015-11-17 13:27:58.963456
Spindle,CZ-A1,296.23,296.78,2015-11-17 13:28:04.799459
Spindle,CZ-A1,307.15,308.77,2015-11-17 13:28:41.047384
Spindle,CZ-A1,309.61,310.84,2015-11-17 13:28:45.830352
Spindle,CZ-A1,332.35,333.55,2015-11-17 13:28:59.646328
Spindle,CZ-A1,343.18,343.72,2015-11-17 13:31:13.880952
Spindle,CZ-A1,346.68,347.98,2015-11-17 13:31:30.514140
Spindle,CZ-A1,355.69,356.42,2015-11-17 13:31:23.665431
Spindle,CZ-A1,366.68,367.19,2015-11-17 13:31:39.181922
Spindle,CZ-A1,389.67,391.73,2015-11-17 13:31:50.602195
Spindle,CZ-A1,397.86,398.92,2015-11-17 13:31:54.418137
Spindle,CZ-A1,403.97,404.91,2015-11-17 13:32:05.175342
Spindle,CZ-A1,416.19,417.41,2015-11-17 13:32:11.034419
Spindle,CZ-A1,427.46,428.66,2015-11-17 13:32:23.141706
Spindle,CZ-A1,440.49,441.38,2015-11-17 13:32:44.740669
Spindle,CZ-A1,449.69,450.49,2015-11-17 13:32:33.505808
Spindle,CZ-A1,466.25,467.21,2015-11-17 13:33:02.613188
Spindle,CZ-A1,472.69,473.3,2015-11-17 13:32:56.716592
Spindle,CZ-A1,480.81,481.99,2015-11-17 13:33:08.644718
Spindle,CZ-A1,484.1,484.76,2015-11-17 13:33:12.578662
Spindle,CZ-A1,511.68,512.35,2015-11-17 13:33:33.372505
Spindle,CZ-A1,523.5,524.35,2015-11-17 13:33:51.740046
Spindle,CZ-A1,537.27,538.22,2015-11-17 13:33:56.615445
Spindle,CZ-A1,541.98,542.68,2015-11-17 13:34:02.929974
Spindle,CZ-A1,553.93,554.82,2015-11-17 13:34:05.638534
Spindle,CZ-A1,560.04,561.69,2015-11-17 13:34:16.163002
Spindle,CZ-A1,575.36,576.57,2015-11-17 13:34:20.429656
Spindle,CZ-A1,589.45,590.75,2015-11-17 13:34:40.581306
Spindle,CZ-A1,595.56,597.09,2015-11-17 13:34:45.928514
Spindle,CZ-A1,601.92,603.22,2015-11-17 13:34:54.831490
Spindle,CZ-A1,620.0,620.54,2015-11-17 13:35:11.392615
Spindle,CZ-A1,625.93,627.06,2015-11-17 13:35:07.230568
Spindle,CZ-A1,632.31,633.08,2015-11-17 13:35:14.666760
Spindle,CZ-A1,640.0,640.81,2015-11-17 13:35:23.307020
Spindle,CZ-A1,653.6,654.16,2015-11-17 13:35:30.307081
Spindle,CZ-A1,658.9,659.68,2015-11-17 13:35:26.758494
Spindle,CZ-A1,662.12,662.7,2015-11-17 13:37:31.011855
Spindle,CZ-A1,665.01,665.77,2015-11-17 13:37:33.538467
Spindle,CZ-A1,669.72,670.67,2015-11-17 13:37:16.985556
Spindle,CZ-A1,674.32,675.15,2015-11-17 13:37:22.901867
Spindle,CZ-A1,687.42,687.92,2015-11-17 13:37:59.668521
Spindle,CZ-A1,695.18,695.8,2015-11-17 13:38:02.546907
Spindle,CZ-A1,718.72,719.34,2015-11-17 13:38:10.304302
Spindle,CZ-A1,735.42,736.23,2015-11-17 13:38:30.238086
Spindle,CZ-A1,742.66,743.36,2015-11-17 13:38:46.337937
Spindle,CZ-A1,747.92,749.13,2015-11-17 13:38:48.978277
Spindle,CZ-A1,755.96,756.8,2015-11-17 13:38:59.547054
Spindle,CZ-A1,762.73,763.59,2015-11-17 13:39:17.352638
Spindle,CZ-A1,774.75,775.74,2015-11-17 13:39:09.203908
Spindle,CZ-A1,781.38,782.43,2015-11-17 13:39:25.899911
Spindle,CZ-A1,801.08,801.94,2015-11-17 13:40:34.313883
Spindle,CZ-A1,817.5,818.08,2015-11-17 13:40:37.637721
Spindle,CZ-A1,822.91,823.63,2015-11-17 13:41:02.116401
Spindle,CZ-A1,831.27,832.52,2015-11-17 13:40:57.364410
Spindle,CZ-A1,852.09,852.72,2015-11-17 13:41:51.565835
Spindle,CZ-A1,859.37,859.87,2015-11-17 13:41:41.410230
Spindle,CZ-A1,860.36,860.92,2015-11-17 13:42:10.836578
Spindle,CZ-A1,870.21,871.05,2015-11-17 13:42:17.843347
Spindle,CZ-A1,873.46,874.39,2015-11-17 13:42:06.675242
Spindle,CZ-A1,880.79,881.65,2015-11-17 13:44:09.145798
Spindle,CZ-A1,886.77,888.09,2015-11-17 13:44:12.177073
Spindle,CZ-A1,895.13,895.99,2015-11-17 13:44:18.887762
Spindle,CZ-A1,906.0,907.13,2015-11-17 13:44:39.780240
Spindle,CZ-A1,908.61,909.34,2015-11-17 13:44:34.807712
Spindle,CZ-A1,912.97,914.09,2015-11-17 13:44:26.924149
Spindle,CZ-A1,920.0,920.93,2015-11-17 13:44:47.616349
Spindle,CZ-A1,935.83,936.89,2015-11-17 13:44:50.993615
Spindle,CZ-A1,941.33,942.01,2015-11-17 13:45:11.156728
Spindle,CZ-A1,943.85,944.85,2015-11-17 13:45:09.155532
Spindle,CZ-A1,955.15,956.26,2015-11-17 13:45:04.682977
Spindle,CZ-A1,969.45,970.15,2015-11-17 13:45:22.374983
Spindle,CZ-A1,973.26,974.59,2015-11-17 13:45:28.112756
Spindle,CZ-A1,976.77,977.9,2015-11-17 13:45:25.131369
Spindle,CZ-A1,986.68,987.62,2015-11-17 13:46:15.842526
Spindle,CZ-A1,992.26,992.85,2015-11-17 13:46:20.610661
Spindle,CZ-A1,998.47,999.08,2015-11-17 13:46:23.896642
Spindle,CZ-A1,1005.59,1007.04,2015-11-17 13:46:29.885987
Spindle,CZ-A1,1010.12,1010.91,2015-11-17 13:46:37.010739
Spindle,CZ-A1,1017.99,1018.85,2015-11-17 13:46:32.269839
Spindle,CZ-A1,1034.57,1035.62,2015-11-17 13:46:44.517990
Spindle,CZ-A1,1045.82,1046.63,2015-11-17 13:47:11.099495
Spindle,CZ-A1,1057.95,1059.48,2015-11-17 13:47:05.724020
Spindle,CZ-A1,1061.47,1062.53,2015-11-17 13:47:18.651944
Spindle,CZ-A1,1068.25,1069.42,2015-11-17 13:47:21.127964
Spindle,CZ-A1,1086.59,1087.15,2015-11-17 13:47:35.887095
Spindle,CZ-A1,1090.84,1091.99,2015-11-17 13:47:30.165691
Spindle,CZ-A1,1099.17,1099.93,2015-11-17 13:47:33.673697
