feature_type,channel,start,end,annotation_time
Spindle,C3-A1,284.8,285.73,2015-11-11 21:25:13.374254
Spindle,C3-A1,290.51,292.22,2015-11-11 21:25:32.375073
Spindle,C3-A1,293.26,294.05,2015-11-11 21:25:37.898305
Spindle,C3-A1,312.02,314.03,2015-11-11 21:26:13.813034
Spindle,C3-A1,330.75,333.06,2015-11-11 21:26:56.131932
Spindle,C3-A1,340.23,341.06,2015-11-11 21:27:20.206753
Spindle,C3-A1,345.95,346.68,2015-11-11 21:27:16.908545
Spindle,C3-A1,349.85,351.02,2015-11-11 21:27:07.596259
Spindle,C3-A1,377.88,378.92,2015-11-11 21:27:49.942038
Spindle,C3-A1,383.16,385.23,2015-11-11 21:28:03.172403
Spindle,C3-A1,393.05,393.78,2015-11-11 21:28:15.838132
Spindle,C3-A1,396.71,397.56,2015-11-11 21:28:19.909241
Spindle,C3-A1,407.12,408.81,2015-11-11 21:28:28.647408
Spindle,C3-A1,433.96,435.22,2015-11-11 21:28:47.721876
Spindle,C3-A1,437.25,438.62,2015-11-11 21:28:37.590672
Spindle,C3-A1,441.04,441.98,2015-11-11 21:28:55.787601
Spindle,C3-A1,454.03,455.09,2015-11-11 21:29:06.219947
Spindle,C3-A1,464.4,465.34,2015-11-11 21:29:18.213615
Spindle,C3-A1,470.73,473.15,2015-11-11 21:29:28.697765
Spindle,C3-A1,504.94,506.16,2015-11-11 21:30:11.346950
Spindle,C3-A1,522.88,523.92,2015-11-11 21:30:27.880460
Spindle,C3-A1,531.54,533.05,2015-11-11 21:30:34.141898
Spindle,C3-A1,540.74,541.37,2015-11-11 21:30:41.344192
Spindle,C3-A1,543.79,544.65,2015-11-11 21:30:44.130729
Spindle,C3-A1,552.96,553.62,2015-11-11 21:30:47.660740
Spindle,C3-A1,575.92,576.53,2015-11-11 21:31:03.235239
Spindle,C3-A1,580.61,581.99,2015-11-11 21:31:18.392448
Spindle,C3-A1,586.92,588.23,2015-11-11 21:31:24.847922
Spindle,C3-A1,595.06,596.5,2015-11-11 21:31:28.009485
Spindle,C3-A1,606.67,608.0,2015-11-11 21:31:38.966817
Spindle,C3-A1,617.41,618.65,2015-11-11 21:31:42.864897
Spindle,C3-A1,631.91,632.49,2015-11-11 21:31:52.582730
Spindle,C3-A1,634.45,634.97,2015-11-11 21:31:58.058676
Spindle,C3-A1,637.32,638.06,2015-11-11 21:31:55.602271
Spindle,C3-A1,643.76,645.05,2015-11-11 21:32:10.199121
Spindle,C3-A1,648.57,650.13,2015-11-11 21:32:16.684566
Spindle,C3-A1,652.26,652.78,2015-11-11 21:32:22.545962
Spindle,C3-A1,654.61,655.35,2015-11-11 21:32:23.922693
Spindle,C3-A1,665.62,666.88,2015-11-11 21:32:34.809030
Spindle,C3-A1,670.22,671.02,2015-11-11 21:32:50.514435
Spindle,C3-A1,678.02,678.6,2015-11-11 21:32:39.385402
Spindle,C3-A1,688.27,689.36,2015-11-11 21:33:09.110050
Spindle,C3-A1,692.96,694.36,2015-11-11 21:33:01.605181
Spindle,C3-A1,702.62,703.43,2015-11-11 21:33:18.942229
Spindle,C3-A1,707.96,709.15,2015-11-11 21:33:22.785018
Spindle,C3-A1,728.64,729.76,2015-11-11 21:33:42.594016
Spindle,C3-A1,735.33,736.24,2015-11-11 21:33:33.648066
Spindle,C3-A1,742.95,743.85,2015-11-11 21:33:51.446740
Spindle,C3-A1,749.74,750.87,2015-11-11 21:33:56.316208
Spindle,C3-A1,756.98,758.13,2015-11-11 21:34:00.434654
Spindle,C3-A1,759.46,759.98,2015-11-11 21:34:02.629357
Spindle,C3-A1,766.54,767.58,2015-11-11 21:34:10.525786
Spindle,C3-A1,770.33,771.61,2015-11-11 21:34:14.480176
Spindle,C3-A1,788.27,789.49,2015-11-11 21:34:23.947368
Spindle,C3-A1,795.81,796.62,2015-11-11 21:34:30.705954
Spindle,C3-A1,810.93,812.96,2015-11-11 21:34:37.565507
Spindle,C3-A1,814.03,815.26,2015-11-11 21:34:40.578406
Spindle,C3-A1,817.57,819.48,2015-11-11 21:34:44.894789
Spindle,C3-A1,826.06,827.6,2015-11-11 21:34:56.067797
Spindle,C3-A1,833.89,835.4,2015-11-11 21:34:58.369372
Spindle,C3-A1,847.04,848.72,2015-11-11 21:35:05.312716
Spindle,C3-A1,895.74,897.47,2015-11-11 21:35:38.480444
Spindle,C3-A1,914.68,916.71,2015-11-11 21:36:09.568969
Spindle,C3-A1,926.27,927.55,2015-11-11 21:36:16.470511
Spindle,C3-A1,934.36,936.53,2015-11-11 21:36:20.570252
Spindle,C3-A1,946.42,947.48,2015-11-11 21:36:27.702999
Spindle,C3-A1,960.0,961.56,2015-11-11 21:36:37.222966
Spindle,C3-A1,975.31,976.71,2015-11-11 21:36:40.293077
Spindle,C3-A1,992.17,993.51,2015-11-11 21:36:49.689605
Spindle,C3-A1,1004.01,1005.43,2015-11-11 21:37:08.918309
Spindle,C3-A1,1015.11,1016.26,2015-11-11 21:37:11.420467
Spindle,C3-A1,1021.28,1022.98,2015-11-11 21:37:16.789533
