feature_type,channel,start,end,annotation_time
Spindle,C3-A1,282.41,282.78,2015-11-11 16:06:45.818030
Spindle,C3-A1,291.46,291.7,2015-11-11 16:07:16.603321
Spindle,C3-A1,311.61,311.91,2015-11-11 16:08:22.906064
Spindle,C3-A1,340.32,340.79,2015-11-11 16:08:54.268834
Spindle,C3-A1,345.57,345.87,2015-11-11 16:09:01.563956
Spindle,C3-A1,346.64,346.94,2015-11-11 16:09:16.085731
Spindle,C3-A1,396.75,397.46,2015-11-11 16:10:04.500478
Spindle,C3-A1,409.14,409.5,2015-11-11 16:10:35.066552
Spindle,C3-A1,422.95,423.48,2015-11-11 16:11:01.380162
Spindle,C3-A1,437.23,438.51,2015-11-11 16:10:55.980684
Spindle,C3-A1,441.07,441.88,2015-11-11 16:11:12.615414
Spindle,C3-A1,454.0,454.56,2015-11-11 16:11:19.447435
Spindle,C3-A1,480.32,480.94,2015-11-11 16:12:14.787306
Spindle,C3-A1,481.52,482.26,2015-11-11 16:11:47.399112
Spindle,C3-A1,528.69,529.22,2015-11-11 16:13:44.754381
Spindle,C3-A1,540.71,541.41,2015-11-11 16:14:14.784560
Spindle,C3-A1,543.8,544.67,2015-11-11 16:14:24.002651
Spindle,C3-A1,553.0,553.89,2015-11-11 16:14:29.008352
Spindle,C3-A1,560.02,560.98,2015-11-11 16:15:07.972905
Spindle,C3-A1,575.8,577.05,2015-11-11 16:14:48.174246
Spindle,C3-A1,580.92,581.81,2015-11-11 16:15:26.990069
Spindle,C3-A1,610.84,611.12,2015-11-11 16:15:55.707629
Spindle,C3-A1,617.72,618.44,2015-11-11 16:15:45.497925
Spindle,C3-A1,631.23,632.55,2015-11-11 16:17:54.857873
Spindle,C3-A1,637.37,638.14,2015-11-11 16:17:57.473750
Spindle,C3-A1,652.14,652.91,2015-11-11 16:18:09.166509
Spindle,C3-A1,660.06,660.66,2015-11-11 16:18:48.202098
Spindle,C3-A1,665.63,666.9,2015-11-11 16:18:36.583518
Spindle,C3-A1,670.2,672.32,2015-11-11 16:19:02.511465
Spindle,C3-A1,678.01,678.8,2015-11-11 16:18:31.249858
Spindle,C3-A1,686.17,687.17,2015-11-11 16:19:23.480678
Spindle,C3-A1,688.77,689.13,2015-11-11 16:19:28.143361
Spindle,C3-A1,692.96,694.34,2015-11-11 16:19:18.358641
Spindle,C3-A1,702.67,703.31,2015-11-11 16:19:34.167123
Spindle,C3-A1,708.0,708.97,2015-11-11 16:19:42.149886
Spindle,C3-A1,726.9,727.39,2015-11-11 16:20:06.233129
Spindle,C3-A1,728.84,729.5,2015-11-11 16:19:48.749271
Spindle,C3-A1,735.37,736.2,2015-11-11 16:19:53.178225
Spindle,C3-A1,742.97,743.73,2015-11-11 16:20:12.367638
Spindle,C3-A1,759.57,759.91,2015-11-11 16:20:17.834159
Spindle,C3-A1,781.52,782.28,2015-11-11 16:20:48.177758
Spindle,C3-A1,788.05,789.5,2015-11-11 16:21:06.961012
Spindle,C3-A1,795.88,796.35,2015-11-11 16:21:11.155810
Spindle,C3-A1,810.99,812.74,2015-11-11 16:21:20.350481
Spindle,C3-A1,813.94,814.94,2015-11-11 16:21:33.061932
Spindle,C3-A1,818.44,818.81,2015-11-11 16:21:38.983469
Spindle,C3-A1,826.51,827.24,2015-11-11 16:21:56.067464
Spindle,C3-A1,834.26,834.94,2015-11-11 16:21:48.831285
Spindle,C3-A1,836.44,836.95,2015-11-11 16:22:01.037931
Spindle,C3-A1,847.34,848.58,2015-11-11 16:22:10.139657
Spindle,C3-A1,849.78,850.71,2015-11-11 16:22:23.243641
Spindle,C3-A1,896.16,896.75,2015-11-11 16:22:51.713415
Spindle,C3-A1,926.49,927.04,2015-11-11 16:23:27.677302
Spindle,C3-A1,946.72,947.09,2015-11-11 16:23:41.340842
Spindle,C3-A1,960.13,961.58,2015-11-11 16:23:53.871031
Spindle,C3-A1,968.6,969.03,2015-11-11 16:24:00.569147
Spindle,C3-A1,975.43,976.59,2015-11-11 16:24:03.492936
Spindle,C3-A1,992.38,993.34,2015-11-11 16:24:24.012543
Spindle,C3-A1,1001.41,1001.99,2015-11-11 16:24:41.827581
Spindle,C3-A1,1015.2,1016.2,2015-11-11 16:24:34.246635
Spindle,C3-A1,1020.53,1021.81,2015-11-11 16:25:03.031604
Spindle,C3-A1,1022.33,1022.8,2015-11-11 16:25:06.339327
Spindle,C3-A1,1035.6,1036.27,2015-11-11 16:25:17.351751
