feature_type,channel,start,end,annotation_time
Spindle,C3-A1,282.35,282.82,2015-11-11 13:54:50.747676
Spindle,C3-A1,282.5,282.75,2015-11-11 13:54:48.905099
Spindle,C3-A1,311.57,311.91,2015-11-11 13:56:10.047928
Spindle,C3-A1,313.33,313.51,2015-11-11 13:56:17.080738
Spindle,C3-A1,323.38,324.08,2015-11-11 13:56:44.778558
Spindle,C3-A1,325.93,326.42,2015-11-11 13:56:29.412361
Spindle,C3-A1,340.29,340.81,2015-11-11 13:56:54.096068
Spindle,C3-A1,346.07,347.04,2015-11-11 13:56:57.065311
Spindle,C3-A1,374.68,375.38,2015-11-11 13:57:05.059512
Spindle,C3-A1,393.3,393.76,2015-11-11 13:57:23.232181
Spindle,C3-A1,396.82,397.2,2015-11-11 13:57:21.120183
Spindle,C3-A1,407.1,407.76,2015-11-11 13:57:32.238579
Spindle,C3-A1,422.95,423.59,2015-11-11 13:57:39.415356
Spindle,C3-A1,441.04,442.03,2015-11-11 13:57:45.547601
Spindle,C3-A1,443.9,445.09,2015-11-11 13:57:47.649905
Spindle,C3-A1,453.85,454.99,2015-11-11 13:57:44.147020
Spindle,C3-A1,468.54,468.91,2015-11-11 13:57:53.907494
Spindle,C3-A1,469.94,470.42,2015-11-11 13:57:52.859196
Spindle,C3-A1,470.76,471.63,2015-11-11 13:57:52.045901
Spindle,C3-A1,471.81,472.67,2015-11-11 13:57:51.382316
Spindle,C3-A1,525.16,525.91,2015-11-11 13:58:20.950410
Spindle,C3-A1,528.63,529.31,2015-11-11 13:58:19.273712
Spindle,C3-A1,540.79,541.56,2015-11-11 13:58:26.335046
Spindle,C3-A1,544.31,544.85,2015-11-11 13:58:29.218753
Spindle,C3-A1,553.01,553.8,2015-11-11 13:58:25.056400
Spindle,C3-A1,560.58,560.93,2015-11-11 13:58:56.528764
Spindle,C3-A1,575.96,576.6,2015-11-11 13:58:54.394818
Spindle,C3-A1,581.08,581.96,2015-11-11 13:59:03.947553
Spindle,C3-A1,594.84,595.88,2015-11-11 13:59:02.101599
Spindle,C3-A1,598.44,599.93,2015-11-11 13:59:06.217855
Spindle,C3-A1,628.01,629.11,2015-11-11 13:59:18.918694
Spindle,C3-A1,631.5,632.45,2015-11-11 13:59:22.368034
Spindle,C3-A1,637.16,638.33,2015-11-11 13:59:20.530012
Spindle,C3-A1,665.75,667.04,2015-11-11 13:59:36.044315
Spindle,C3-A1,671.21,672.33,2015-11-11 13:59:34.736574
Spindle,C3-A1,677.88,679.01,2015-11-11 13:59:33.361649
Spindle,C3-A1,686.74,686.97,2015-11-11 13:59:41.074513
Spindle,C3-A1,702.1,703.13,2015-11-11 13:59:46.592418
Spindle,C3-A1,707.26,709.16,2015-11-11 13:59:47.685737
Spindle,C3-A1,715.49,716.91,2015-11-11 13:59:48.744698
Spindle,C3-A1,717.52,719.44,2015-11-11 13:59:49.769333
Spindle,C3-A1,722.59,723.97,2015-11-11 13:59:57.468452
Spindle,C3-A1,728.48,729.56,2015-11-11 13:59:56.142806
Spindle,C3-A1,735.36,736.06,2015-11-11 13:59:55.228041
Spindle,C3-A1,743.05,743.72,2015-11-11 14:00:00.516280
Spindle,C3-A1,747.13,747.96,2015-11-11 14:00:12.026931
Spindle,C3-A1,759.46,759.87,2015-11-11 14:00:10.610702
Spindle,C3-A1,771.36,772.61,2015-11-11 14:00:16.650767
Spindle,C3-A1,776.86,777.88,2015-11-11 14:00:18.849809
Spindle,C3-A1,781.65,782.41,2015-11-11 14:00:57.990901
Spindle,C3-A1,788.1,789.27,2015-11-11 14:00:56.755498
Spindle,C3-A1,790.39,791.07,2015-11-11 14:01:00.126623
Spindle,C3-A1,795.81,796.66,2015-11-11 14:00:54.864283
Spindle,C3-A1,802.79,803.68,2015-11-11 14:08:36.078435
Spindle,C3-A1,811.03,812.56,2015-11-11 14:08:34.942192
Spindle,C3-A1,813.69,815.11,2015-11-11 14:08:37.091798
Spindle,C3-A1,823.45,824.28,2015-11-11 14:09:07.924270
Spindle,C3-A1,826.42,827.03,2015-11-11 14:09:06.891381
Spindle,C3-A1,834.21,835.24,2015-11-11 14:09:04.730525
Spindle,C3-A1,836.12,836.93,2015-11-11 14:09:05.874880
Spindle,C3-A1,847.06,848.82,2015-11-11 14:09:13.078443
Spindle,C3-A1,857.75,858.98,2015-11-11 14:09:14.477518
Spindle,C3-A1,870.4,871.16,2015-11-11 14:09:19.897850
Spindle,C3-A1,873.6,874.43,2015-11-11 14:09:18.859750
Spindle,C3-A1,876.33,877.18,2015-11-11 14:09:23.566491
Spindle,C3-A1,893.82,894.57,2015-11-11 14:09:27.329553
Spindle,C3-A1,925.93,927.33,2015-11-11 14:09:39.314412
Spindle,C3-A1,949.99,951.63,2015-11-11 14:09:43.133379
Spindle,C3-A1,960.0,961.47,2015-11-11 14:09:47.207004
Spindle,C3-A1,975.24,976.33,2015-11-11 14:09:48.373000
Spindle,C3-A1,992.33,993.44,2015-11-11 14:09:52.315383
Spindle,C3-A1,996.19,996.78,2015-11-11 14:09:54.117533
Spindle,C3-A1,996.33,997.32,2015-11-11 14:09:53.225643
Spindle,C3-A1,1001.28,1002.12,2015-11-11 14:11:33.242125
Spindle,C3-A1,1003.85,1004.87,2015-11-11 14:11:32.338070
Spindle,C3-A1,1009.36,1011.32,2015-11-11 14:11:34.556396
Spindle,C3-A1,1014.65,1016.23,2015-11-11 14:11:28.734357
Spindle,C3-A1,1020.75,1021.13,2015-11-11 14:11:40.854639
Spindle,C3-A1,1021.22,1023.16,2015-11-11 14:11:40.575304
Spindle,C3-A1,1028.18,1029.15,2015-11-11 14:11:39.129291
Spindle,C3-A1,1035.15,1036.12,2015-11-11 14:11:38.233470
Spindle,C3-A1,1037.86,1038.85,2015-11-11 14:11:42.006814
