feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,0.56,0.83,2015-11-17 13:51:20.406026
Spindle,CZ-A1,0.59,1.33,2015-11-17 13:51:15.617900
Spindle,CZ-A1,0.59,0.79,2015-11-17 13:51:16.888166
Spindle,CZ-A1,10.15,10.35,2015-11-17 13:50:53.449051
Spindle,CZ-A1,10.35,10.91,2015-11-17 13:50:55.484310
Spindle,CZ-A1,44.29,44.92,2015-11-17 13:52:16.996309
Spindle,CZ-A1,58.74,59.77,2015-11-17 13:52:13.994546
Spindle,CZ-A1,73.55,74.63,2015-11-17 13:52:34.055406
Spindle,CZ-A1,89.16,89.96,2015-11-17 13:52:53.470314
Spindle,CZ-A1,93.75,94.93,2015-11-17 13:52:56.399033
Spindle,CZ-A1,98.56,99.78,2015-11-17 13:52:59.088127
Spindle,CZ-A1,107.08,108.01,2015-11-17 13:53:10.434513
Spindle,CZ-A1,127.1,127.98,2015-11-17 13:53:25.316126
Spindle,CZ-A1,145.07,145.5,2015-11-17 13:53:46.694682
Spindle,CZ-A1,162.57,163.9,2015-11-17 13:53:58.166842
Spindle,CZ-A1,169.09,169.69,2015-11-17 13:53:59.973208
Spindle,CZ-A1,181.13,181.51,2015-11-17 13:54:16.000268
Spindle,CZ-A1,184.96,186.0,2015-11-17 13:54:13.216097
Spindle,CZ-A1,193.08,193.66,2015-11-17 13:54:18.125707
Spindle,CZ-A1,197.05,197.88,2015-11-17 13:54:20.195439
Spindle,CZ-A1,200.63,201.33,2015-11-17 13:54:40.458993
Spindle,CZ-A1,216.91,217.88,2015-11-17 13:54:46.723609
Spindle,CZ-A1,252.26,253.55,2015-11-17 13:55:07.811316
Spindle,CZ-A1,270.98,271.72,2015-11-17 13:55:27.231178
Spindle,CZ-A1,286.22,286.63,2015-11-17 13:55:41.019305
Spindle,CZ-A1,287.85,288.34,2015-11-17 13:55:43.287783
Spindle,CZ-A1,296.24,296.96,2015-11-17 13:55:44.964284
Spindle,CZ-A1,303.79,304.65,2015-11-17 13:56:01.441233
Spindle,CZ-A1,307.08,308.61,2015-11-17 13:55:57.997457
Spindle,CZ-A1,346.68,347.71,2015-11-17 13:56:20.559194
Spindle,CZ-A1,355.9,356.55,2015-11-17 13:56:22.993028
Spindle,CZ-A1,362.8,363.76,2015-11-17 13:56:49.770905
Spindle,CZ-A1,369.79,371.55,2015-11-17 13:56:46.983831
Spindle,CZ-A1,389.74,390.39,2015-11-17 13:56:57.114890
Spindle,CZ-A1,391.39,391.95,2015-11-17 13:56:59.541850
Spindle,CZ-A1,393.44,394.02,2015-11-17 13:57:02.721259
Spindle,CZ-A1,403.95,404.76,2015-11-17 13:57:10.687189
Spindle,CZ-A1,415.92,417.18,2015-11-17 13:57:14.634473
Spindle,CZ-A1,424.62,425.44,2015-11-17 13:57:38.495944
Spindle,CZ-A1,427.35,428.82,2015-11-17 13:57:36.113792
Spindle,CZ-A1,449.79,450.51,2015-11-17 13:57:43.963571
Spindle,CZ-A1,472.49,473.44,2015-11-17 13:57:51.773634
Spindle,CZ-A1,480.97,482.05,2015-11-17 13:57:57.578707
Spindle,CZ-A1,488.39,489.24,2015-11-17 13:57:59.746019
Spindle,CZ-A1,498.99,499.96,2015-11-17 13:58:00.900303
Spindle,CZ-A1,504.15,505.18,2015-11-17 13:58:11.365659
Spindle,CZ-A1,511.81,512.36,2015-11-17 13:58:09.606481
Spindle,CZ-A1,521.04,522.01,2015-11-17 13:58:23.387275
Spindle,CZ-A1,530.73,531.82,2015-11-17 13:58:17.907962
Spindle,CZ-A1,537.36,538.54,2015-11-17 13:58:19.999131
Spindle,CZ-A1,544.74,545.27,2015-11-17 13:58:30.921635
Spindle,CZ-A1,554.41,555.4,2015-11-17 13:58:32.060694
Spindle,CZ-A1,558.29,559.16,2015-11-17 13:58:33.708963
Spindle,CZ-A1,560.07,562.03,2015-11-17 13:58:45.300544
Spindle,CZ-A1,566.88,568.55,2015-11-17 13:58:46.990123
Spindle,CZ-A1,575.44,576.78,2015-11-17 13:58:48.810038
Spindle,CZ-A1,589.54,590.87,2015-11-17 13:58:54.583552
Spindle,CZ-A1,601.89,603.25,2015-11-17 13:59:03.458438
Spindle,CZ-A1,608.5,609.94,2015-11-17 13:59:05.740127
Spindle,CZ-A1,625.59,626.88,2015-11-17 13:59:10.049400
Spindle,CZ-A1,640.23,641.35,2015-11-17 13:59:22.724513
Spindle,CZ-A1,658.53,659.57,2015-11-17 13:59:20.403986
Spindle,CZ-A1,664.71,666.04,2015-11-17 13:59:31.196515
Spindle,CZ-A1,669.47,670.73,2015-11-17 13:59:32.582775
Spindle,CZ-A1,687.33,688.72,2015-11-17 13:59:40.523681
Spindle,CZ-A1,693.91,694.79,2015-11-17 13:59:43.323368
Spindle,CZ-A1,695.49,696.33,2015-11-17 13:59:44.064204
Spindle,CZ-A1,701.62,702.59,2015-11-17 13:59:50.003617
Spindle,CZ-A1,712.72,713.75,2015-11-17 13:59:53.084273
Spindle,CZ-A1,716.51,717.14,2015-11-17 13:59:55.823582
Spindle,CZ-A1,726.88,728.32,2015-11-17 14:00:04.397903
Spindle,CZ-A1,735.02,736.33,2015-11-17 14:00:02.073357
Spindle,CZ-A1,742.68,743.59,2015-11-17 14:00:08.778805
Spindle,CZ-A1,747.96,749.16,2015-11-17 14:00:10.587179
Spindle,CZ-A1,755.9,757.12,2015-11-17 14:00:12.208693
Spindle,CZ-A1,763.79,764.74,2015-11-17 14:00:17.924876
Spindle,CZ-A1,771.16,772.42,2015-11-17 14:00:19.652612
Spindle,CZ-A1,774.68,775.88,2015-11-17 14:00:20.805215
