feature_type,channel,start,end,annotation_time
Spindle,C3-A1,311.43,312.0,2015-11-11 15:18:13.121813
Spindle,C3-A1,393.03,393.94,2015-11-11 15:18:58.887525
Spindle,C3-A1,396.62,398.15,2015-11-11 15:18:52.319403
Spindle,C3-A1,422.86,423.7,2015-11-11 15:19:16.044853
Spindle,C3-A1,437.23,438.54,2015-11-11 15:19:20.410204
Spindle,C3-A1,441.24,442.01,2015-11-11 15:19:30.617257
Spindle,C3-A1,443.52,444.92,2015-11-11 15:19:33.047382
Spindle,C3-A1,453.84,454.82,2015-11-11 15:19:37.323889
Spindle,C3-A1,467.74,468.5,2015-11-11 15:19:52.786966
Spindle,C3-A1,472.54,473.5,2015-11-11 15:20:01.446091
Spindle,C3-A1,525.0,525.88,2015-11-11 15:20:57.424849
Spindle,C3-A1,540.75,541.55,2015-11-11 15:21:08.087961
Spindle,C3-A1,552.76,553.82,2015-11-11 15:21:11.479149
Spindle,C3-A1,560.0,561.04,2015-11-11 15:21:33.042414
Spindle,C3-A1,575.71,576.98,2015-11-11 15:21:30.171875
Spindle,C3-A1,580.34,581.87,2015-11-11 15:21:39.834467
Spindle,C3-A1,594.93,595.92,2015-11-11 15:21:45.055835
Spindle,C3-A1,606.58,608.03,2015-11-11 15:21:52.488410
Spindle,C3-A1,610.87,611.97,2015-11-11 15:22:00.784294
Spindle,C3-A1,631.48,632.43,2015-11-11 15:22:19.580685
Spindle,C3-A1,637.11,638.31,2015-11-11 15:22:22.624354
Spindle,C3-A1,665.57,667.42,2015-11-11 15:22:44.505224
Spindle,C3-A1,670.46,672.15,2015-11-11 15:22:48.937258
Spindle,C3-A1,677.86,679.03,2015-11-11 15:22:51.320748
Spindle,C3-A1,685.25,687.21,2015-11-11 15:23:32.276335
Spindle,C3-A1,688.19,689.43,2015-11-11 15:23:23.769499
Spindle,C3-A1,692.31,694.23,2015-11-11 15:23:27.121340
Spindle,C3-A1,702.7,703.49,2015-11-11 15:23:38.338783
Spindle,C3-A1,707.89,709.04,2015-11-11 15:23:41.164232
Spindle,C3-A1,715.94,717.18,2015-11-11 15:23:43.220133
Spindle,C3-A1,728.57,729.51,2015-11-11 15:23:52.609838
Spindle,C3-A1,735.06,736.32,2015-11-11 15:23:59.628310
Spindle,C3-A1,740.36,741.47,2015-11-11 15:24:05.687520
Spindle,C3-A1,742.59,744.08,2015-11-11 15:24:07.993612
Spindle,C3-A1,747.04,747.98,2015-11-11 15:24:10.055607
Spindle,C3-A1,749.97,750.93,2015-11-11 15:24:12.203954
Spindle,C3-A1,781.58,782.61,2015-11-11 15:24:32.800524
Spindle,C3-A1,788.03,789.56,2015-11-11 15:24:35.323566
Spindle,C3-A1,802.82,803.77,2015-11-11 15:24:52.154411
Spindle,C3-A1,811.03,812.79,2015-11-11 15:24:42.050164
Spindle,C3-A1,814.12,815.29,2015-11-11 15:24:43.863873
Spindle,C3-A1,821.8,823.22,2015-11-11 15:25:13.327446
Spindle,C3-A1,826.33,827.51,2015-11-11 15:25:00.825924
Spindle,C3-A1,836.01,837.38,2015-11-11 15:25:09.286837
Spindle,C3-A1,846.92,848.72,2015-11-11 15:25:19.493548
Spindle,C3-A1,857.66,858.89,2015-11-11 15:25:22.634330
Spindle,C3-A1,869.9,871.48,2015-11-11 15:25:41.117639
Spindle,C3-A1,895.78,897.21,2015-11-11 15:25:48.959842
Spindle,C3-A1,945.77,947.76,2015-11-11 15:26:09.969850
Spindle,C3-A1,950.87,951.91,2015-11-11 15:26:12.298171
Spindle,C3-A1,975.47,976.57,2015-11-11 15:26:20.094095
Spindle,C3-A1,992.4,993.53,2015-11-11 15:26:30.851931
Spindle,C3-A1,996.21,997.11,2015-11-11 15:26:41.081179
Spindle,C3-A1,1001.31,1002.14,2015-11-11 15:26:47.916065
Spindle,C3-A1,1004.17,1005.52,2015-11-11 15:26:50.193317
Spindle,C3-A1,1015.18,1016.24,2015-11-11 15:26:52.906247
Spindle,C3-A1,1020.9,1022.66,2015-11-11 15:27:06.014057
