feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,9.99,10.98,2015-11-17 12:34:29.780024
Spindle,CZ-A1,44.38,45.21,2015-11-17 12:35:01.987399
Spindle,CZ-A1,58.81,59.71,2015-11-17 12:35:05.016979
Spindle,CZ-A1,73.64,74.34,2015-11-17 12:35:23.271903
Spindle,CZ-A1,89.33,90.15,2015-11-17 12:35:33.033084
Spindle,CZ-A1,93.98,94.91,2015-11-17 12:35:30.643648
Spindle,CZ-A1,112.15,113.37,2015-11-17 12:35:43.053000
Spindle,CZ-A1,120.49,121.24,2015-11-17 12:41:07.885734
Spindle,CZ-A1,126.97,128.18,2015-11-17 12:41:05.969087
Spindle,CZ-A1,131.03,131.7,2015-11-17 12:41:03.839802
Spindle,CZ-A1,151.95,152.69,2015-11-17 12:41:15.233452
Spindle,CZ-A1,162.68,164.1,2015-11-17 12:41:27.864039
Spindle,CZ-A1,166.45,167.49,2015-11-17 12:41:34.055348
Spindle,CZ-A1,200.49,201.65,2015-11-17 12:41:53.113289
Spindle,CZ-A1,210.31,211.59,2015-11-17 12:41:58.888069
Spindle,CZ-A1,216.71,218.62,2015-11-17 12:42:01.225564
Spindle,CZ-A1,220.61,221.8,2015-11-17 12:42:07.651102
Spindle,CZ-A1,222.32,223.36,2015-11-17 12:42:10.237615
Spindle,CZ-A1,252.27,253.51,2015-11-17 12:42:24.850018
Spindle,CZ-A1,271.14,272.11,2015-11-17 12:42:33.960734
Spindle,CZ-A1,296.19,297.07,2015-11-17 12:42:46.693306
Spindle,CZ-A1,306.86,308.66,2015-11-17 12:43:10.463076
Spindle,CZ-A1,310.12,310.76,2015-11-17 12:43:13.007986
Spindle,CZ-A1,318.24,319.1,2015-11-17 12:43:19.752448
Spindle,CZ-A1,332.18,333.03,2015-11-17 12:43:26.367693
Spindle,CZ-A1,346.63,347.82,2015-11-17 12:43:32.182379
Spindle,CZ-A1,355.58,356.57,2015-11-17 12:43:34.402509
Spindle,CZ-A1,366.36,367.17,2015-11-17 12:43:43.051078
Spindle,CZ-A1,389.96,391.82,2015-11-17 12:43:54.722475
Spindle,CZ-A1,397.9,398.92,2015-11-17 12:43:56.723434
Spindle,CZ-A1,403.92,404.8,2015-11-17 12:44:04.356620
Spindle,CZ-A1,416.17,417.2,2015-11-17 12:44:07.294736
Spindle,CZ-A1,427.51,428.52,2015-11-17 12:44:17.235671
Spindle,CZ-A1,449.88,450.84,2015-11-17 12:44:25.810090
Spindle,CZ-A1,472.7,473.58,2015-11-17 12:44:33.289677
Spindle,CZ-A1,480.88,482.01,2015-11-17 12:44:43.504771
Spindle,CZ-A1,488.28,489.13,2015-11-17 12:44:46.854771
Spindle,CZ-A1,537.16,537.81,2015-11-17 12:45:07.933374
Spindle,CZ-A1,541.98,542.62,2015-11-17 12:45:14.980759
Spindle,CZ-A1,553.94,554.91,2015-11-17 12:45:18.541812
Spindle,CZ-A1,560.2,561.64,2015-11-17 12:45:23.502820
Spindle,CZ-A1,575.42,576.57,2015-11-17 12:45:28.291413
Spindle,CZ-A1,589.54,590.37,2015-11-17 12:45:41.890592
Spindle,CZ-A1,595.92,596.95,2015-11-17 12:45:44.046943
Spindle,CZ-A1,602.37,603.04,2015-11-17 12:45:51.446584
Spindle,CZ-A1,608.79,609.43,2015-11-17 12:45:55.882366
Spindle,CZ-A1,626.07,626.94,2015-11-17 12:46:02.013437
Spindle,CZ-A1,632.33,632.79,2015-11-17 12:46:04.779198
Spindle,CZ-A1,640.18,640.88,2015-11-17 12:46:18.160585
Spindle,CZ-A1,653.33,654.05,2015-11-17 12:46:21.050783
Spindle,CZ-A1,669.72,670.46,2015-11-17 12:46:30.515541
Spindle,CZ-A1,677.95,678.74,2015-11-17 12:46:28.530386
Spindle,CZ-A1,694.95,695.76,2015-11-17 12:46:40.530372
Spindle,CZ-A1,718.71,719.17,2015-11-17 12:46:53.050370
Spindle,CZ-A1,728.77,729.49,2015-11-17 12:46:58.904905
Spindle,CZ-A1,735.26,736.21,2015-11-17 12:47:01.652541
Spindle,CZ-A1,742.61,743.45,2015-11-17 12:47:07.038923
Spindle,CZ-A1,747.82,749.04,2015-11-17 12:47:10.551978
Spindle,CZ-A1,755.85,756.82,2015-11-17 12:47:14.419262
Spindle,CZ-A1,774.77,775.47,2015-11-17 12:47:27.046112
Spindle,CZ-A1,781.44,782.35,2015-11-17 12:47:35.102761
Spindle,CZ-A1,814.54,815.71,2015-11-17 12:47:41.084757
Spindle,CZ-A1,817.5,818.06,2015-11-17 12:47:43.280020
Spindle,CZ-A1,830.89,832.83,2015-11-17 12:47:51.525174
Spindle,CZ-A1,834.21,835.18,2015-11-17 12:47:53.792199
Spindle,CZ-A1,838.02,838.83,2015-11-17 12:47:55.715383
Spindle,CZ-A1,859.35,859.98,2015-11-17 12:48:05.645025
Spindle,CZ-A1,873.71,874.34,2015-11-17 12:48:13.427792
Spindle,CZ-A1,881.08,882.14,2015-11-17 12:48:17.961392
Spindle,CZ-A1,895.27,896.1,2015-11-17 12:48:23.857865
Spindle,CZ-A1,906.27,907.17,2015-11-17 12:48:30.494453
Spindle,CZ-A1,908.72,909.36,2015-11-17 12:48:36.843495
Spindle,CZ-A1,912.96,914.11,2015-11-17 12:48:35.254330
Spindle,CZ-A1,920.07,921.01,2015-11-17 12:48:41.967075
Spindle,CZ-A1,935.81,936.71,2015-11-17 12:48:45.652459
Spindle,CZ-A1,941.29,942.05,2015-11-17 12:48:52.246432
Spindle,CZ-A1,950.3,951.11,2015-11-17 12:49:03.571355
Spindle,CZ-A1,955.08,956.21,2015-11-17 12:49:05.748599
Spindle,CZ-A1,969.38,970.12,2015-11-17 12:49:13.721098
Spindle,CZ-A1,973.21,974.21,2015-11-17 12:49:15.638172
Spindle,CZ-A1,976.78,977.84,2015-11-17 12:49:17.431224
Spindle,CZ-A1,986.95,987.76,2015-11-17 12:49:27.063196
Spindle,CZ-A1,1005.61,1006.86,2015-11-17 12:49:35.041313
Spindle,CZ-A1,1017.74,1018.85,2015-11-17 12:49:38.927184
Spindle,CZ-A1,1045.44,1046.61,2015-11-17 12:49:55.777987
Spindle,CZ-A1,1061.46,1062.53,2015-11-17 12:50:04.563995
Spindle,CZ-A1,1068.03,1069.31,2015-11-17 12:50:06.686309
Spindle,CZ-A1,1090.93,1092.04,2015-11-17 12:50:15.075880
