feature_type,channel,start,end,annotation_time
Spindle,C3-A1,281.74,282.98,2015-11-11 17:21:00.708741
Spindle,C3-A1,311.52,312.49,2015-11-11 17:21:58.279564
Spindle,C3-A1,335.33,335.99,2015-11-11 17:22:26.795535
Spindle,C3-A1,340.29,341.04,2015-11-11 17:22:47.649295
Spindle,C3-A1,345.46,346.0,2015-11-11 17:22:57.448371
Spindle,C3-A1,367.03,367.49,2015-11-11 17:23:25.163551
Spindle,C3-A1,373.51,374.36,2015-11-11 17:23:35.250546
Spindle,C3-A1,383.02,384.62,2015-11-11 17:24:25.234755
Spindle,C3-A1,393.06,393.8,2015-11-11 17:24:14.345846
Spindle,C3-A1,396.75,397.47,2015-11-11 17:24:09.827583
Spindle,C3-A1,402.71,403.13,2015-11-11 17:25:03.405994
Spindle,C3-A1,408.79,409.49,2015-11-11 17:25:16.838239
Spindle,C3-A1,422.96,423.52,2015-11-11 17:25:33.167104
Spindle,C3-A1,437.23,438.45,2015-11-11 17:25:43.393057
Spindle,C3-A1,441.13,441.96,2015-11-11 17:25:55.070410
Spindle,C3-A1,443.85,444.49,2015-11-11 17:26:03.992993
Spindle,C3-A1,453.96,454.5,2015-11-11 17:26:08.717920
Spindle,C3-A1,468.25,468.98,2015-11-11 17:26:31.096942
Spindle,C3-A1,470.87,473.26,2015-11-11 17:26:37.927322
Spindle,C3-A1,495.69,496.01,2015-11-11 17:27:07.818072
Spindle,C3-A1,525.28,525.97,2015-11-11 17:27:36.849782
Spindle,C3-A1,528.64,529.45,2015-11-11 17:27:40.515028
Spindle,C3-A1,532.67,533.3,2015-11-11 17:27:45.949817
Spindle,C3-A1,540.79,541.4,2015-11-11 17:27:58.788008
Spindle,C3-A1,544.08,545.03,2015-11-11 17:28:05.366405
Spindle,C3-A1,553.03,553.76,2015-11-11 17:28:12.287499
Spindle,C3-A1,557.02,557.56,2015-11-11 17:28:20.416305
Spindle,C3-A1,560.0,560.97,2015-11-11 17:28:29.295097
Spindle,C3-A1,575.88,576.93,2015-11-11 17:28:36.270639
Spindle,C3-A1,580.95,581.69,2015-11-11 17:29:15.974199
Spindle,C3-A1,586.9,587.49,2015-11-11 17:29:21.068583
Spindle,C3-A1,595.13,595.6,2015-11-11 17:29:29.947548
Spindle,C3-A1,617.57,618.27,2015-11-11 17:29:59.830672
Spindle,C3-A1,631.75,632.49,2015-11-11 17:30:24.900415
Spindle,C3-A1,637.48,638.02,2015-11-11 17:30:30.038179
Spindle,C3-A1,645.93,646.52,2015-11-11 17:30:47.471811
Spindle,C3-A1,650.44,651.61,2015-11-11 17:30:52.491581
Spindle,C3-A1,652.18,652.85,2015-11-11 17:31:02.160983
Spindle,C3-A1,654.72,655.36,2015-11-11 17:31:04.614901
Spindle,C3-A1,656.62,657.97,2015-11-11 17:31:09.565644
Spindle,C3-A1,659.44,659.69,2015-11-11 17:31:12.114994
Spindle,C3-A1,665.79,666.88,2015-11-11 17:31:26.239383
Spindle,C3-A1,678.01,678.78,2015-11-11 17:31:33.878558
Spindle,C3-A1,685.35,686.97,2015-11-11 17:31:47.220901
Spindle,C3-A1,688.77,689.34,2015-11-11 17:31:52.059372
Spindle,C3-A1,692.96,694.0,2015-11-11 17:31:41.207266
Spindle,C3-A1,702.64,703.4,2015-11-11 17:32:18.171688
Spindle,C3-A1,708.01,709.02,2015-11-11 17:32:25.248407
Spindle,C3-A1,716.19,717.02,2015-11-11 17:32:29.644549
Spindle,C3-A1,726.92,727.55,2015-11-11 17:32:53.341709
Spindle,C3-A1,728.81,729.54,2015-11-11 17:32:48.649796
Spindle,C3-A1,735.36,736.17,2015-11-11 17:32:45.275393
Spindle,C3-A1,742.98,743.77,2015-11-11 17:33:02.307914
Spindle,C3-A1,749.94,750.85,2015-11-11 17:33:06.700090
Spindle,C3-A1,759.51,760.0,2015-11-11 17:33:09.707007
Spindle,C3-A1,781.53,782.48,2015-11-11 17:33:25.430655
Spindle,C3-A1,788.37,789.25,2015-11-11 17:33:28.952673
Spindle,C3-A1,795.81,796.59,2015-11-11 17:33:34.037536
Spindle,C3-A1,803.0,803.52,2015-11-11 17:33:46.851092
Spindle,C3-A1,808.52,808.93,2015-11-11 17:33:50.590106
Spindle,C3-A1,811.02,812.7,2015-11-11 17:33:42.923032
Spindle,C3-A1,814.12,815.26,2015-11-11 17:33:56.242735
