feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,0.79,1.33,2015-11-17 11:59:04.688782
Spindle,CZ-A1,10.04,10.51,2015-11-17 11:59:12.376499
Spindle,CZ-A1,15.04,15.6,2015-11-17 11:59:15.665754
Spindle,CZ-A1,22.84,23.38,2015-11-17 11:59:43.802351
Spindle,CZ-A1,29.04,29.72,2015-11-17 11:59:50.216108
Spindle,CZ-A1,36.8,37.38,2015-11-17 11:59:46.990308
Spindle,CZ-A1,44.42,44.98,2015-11-17 12:00:31.140995
Spindle,CZ-A1,50.15,50.82,2015-11-17 12:00:33.862397
Spindle,CZ-A1,58.96,59.6,2015-11-17 12:00:36.506753
Spindle,CZ-A1,73.41,74.47,2015-11-17 12:00:45.652532
Spindle,CZ-A1,89.02,90.03,2015-11-17 12:00:56.480247
Spindle,CZ-A1,93.78,94.81,2015-11-17 12:00:53.509281
Spindle,CZ-A1,107.3,108.0,2015-11-17 12:01:15.258065
Spindle,CZ-A1,112.27,113.15,2015-11-17 12:01:04.708331
Spindle,CZ-A1,114.09,114.86,2015-11-17 12:01:06.878195
Spindle,CZ-A1,118.08,119.08,2015-11-17 12:01:09.726929
Spindle,CZ-A1,120.27,121.15,2015-11-17 12:01:22.658344
Spindle,CZ-A1,127.1,127.78,2015-11-17 12:01:24.308953
Spindle,CZ-A1,132.97,133.91,2015-11-17 12:01:26.141846
Spindle,CZ-A1,144.56,145.37,2015-11-17 12:01:33.624308
Spindle,CZ-A1,151.81,152.69,2015-11-17 12:01:31.627003
Spindle,CZ-A1,161.73,162.77,2015-11-17 12:01:41.217246
Spindle,CZ-A1,163.16,164.01,2015-11-17 12:01:47.293692
Spindle,CZ-A1,168.93,169.87,2015-11-17 12:01:44.260035
Spindle,CZ-A1,192.97,193.73,2015-11-17 12:01:53.379471
Spindle,CZ-A1,200.47,201.6,2015-11-17 12:02:00.959851
Spindle,CZ-A1,210.1,211.11,2015-11-17 12:01:59.356607
Spindle,CZ-A1,222.01,222.88,2015-11-17 12:02:06.637499
Spindle,CZ-A1,252.42,253.46,2015-11-17 12:02:12.981608
Spindle,CZ-A1,271.12,272.02,2015-11-17 12:02:18.265863
Spindle,CZ-A1,276.24,277.12,2015-11-17 12:02:22.669165
Spindle,CZ-A1,287.49,288.59,2015-11-17 12:02:28.513336
Spindle,CZ-A1,295.88,296.86,2015-11-17 12:02:33.252431
Spindle,CZ-A1,306.99,308.54,2015-11-17 12:02:40.354101
Spindle,CZ-A1,309.88,310.71,2015-11-17 12:02:43.116342
Spindle,CZ-A1,317.97,319.44,2015-11-17 12:02:44.995515
Spindle,CZ-A1,332.11,333.35,2015-11-17 12:02:53.541195
Spindle,CZ-A1,338.42,339.73,2015-11-17 12:02:51.308742
Spindle,CZ-A1,342.96,343.86,2015-11-17 12:02:59.978875
Spindle,CZ-A1,346.38,347.48,2015-11-17 12:03:01.424007
Spindle,CZ-A1,356.69,357.65,2015-11-17 12:03:02.965402
Spindle,CZ-A1,366.02,367.58,2015-11-17 12:03:08.524490
Spindle,CZ-A1,368.77,369.61,2015-11-17 12:03:11.739624
Spindle,CZ-A1,390.67,391.99,2015-11-17 12:03:16.247893
Spindle,CZ-A1,397.18,398.08,2015-11-17 12:03:18.547753
Spindle,CZ-A1,398.71,399.39,2015-11-17 12:03:20.053313
Spindle,CZ-A1,403.83,404.89,2015-11-17 12:03:26.674863
Spindle,CZ-A1,416.28,417.77,2015-11-17 12:03:29.205907
Spindle,CZ-A1,423.54,424.8,2015-11-17 12:03:33.875751
