feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,73.73,74.5,2015-11-17 12:51:23.492809
Spindle,CZ-A1,89.4,90.03,2015-11-17 12:51:30.985015
Spindle,CZ-A1,94.02,94.45,2015-11-17 12:51:34.312007
Spindle,CZ-A1,114.12,114.81,2015-11-17 12:51:43.687239
Spindle,CZ-A1,127.01,127.53,2015-11-17 12:52:20.492514
Spindle,CZ-A1,145.07,145.44,2015-11-17 12:52:46.445758
Spindle,CZ-A1,163.32,163.99,2015-11-17 12:53:11.303920
Spindle,CZ-A1,193.19,193.51,2015-11-17 12:53:22.240847
Spindle,CZ-A1,200.72,201.29,2015-11-17 13:06:01.837690
Spindle,CZ-A1,221.29,221.83,2015-11-17 13:06:20.424480
Spindle,CZ-A1,252.6,253.6,2015-11-17 13:06:45.521360
Spindle,CZ-A1,271.21,272.0,2015-11-17 13:07:00.005426
Spindle,CZ-A1,301.9,302.93,2015-11-17 13:08:01.880775
Spindle,CZ-A1,307.4,308.54,2015-11-17 13:07:58.618644
Spindle,CZ-A1,332.18,333.33,2015-11-17 13:08:14.389324
Spindle,CZ-A1,343.52,344.38,2015-11-17 13:08:19.619620
Spindle,CZ-A1,346.61,347.46,2015-11-17 13:08:21.055479
Spindle,CZ-A1,355.42,356.73,2015-11-17 13:08:23.678513
Spindle,CZ-A1,366.0,367.53,2015-11-17 13:08:29.468180
Spindle,CZ-A1,390.22,391.64,2015-11-17 13:08:38.880959
Spindle,CZ-A1,397.83,398.76,2015-11-17 13:08:41.133492
Spindle,CZ-A1,403.81,405.25,2015-11-17 13:08:49.144048
Spindle,CZ-A1,416.3,417.66,2015-11-17 13:08:50.698051
Spindle,CZ-A1,427.62,428.57,2015-11-17 13:08:59.589921
Spindle,CZ-A1,440.7,441.47,2015-11-17 13:09:04.588460
Spindle,CZ-A1,472.47,473.42,2015-11-17 13:09:14.721830
Spindle,CZ-A1,480.88,481.8,2015-11-17 13:09:20.456795
Spindle,CZ-A1,484.24,484.74,2015-11-17 13:09:22.700061
Spindle,CZ-A1,488.57,489.27,2015-11-17 13:09:24.342661
Spindle,CZ-A1,511.73,512.31,2015-11-17 13:09:38.642078
Spindle,CZ-A1,517.23,517.72,2015-11-17 13:09:40.899427
Spindle,CZ-A1,537.14,538.36,2015-11-17 13:09:51.017420
Spindle,CZ-A1,541.76,542.96,2015-11-17 13:10:00.187408
Spindle,CZ-A1,553.73,554.86,2015-11-17 13:10:08.686346
Spindle,CZ-A1,567.64,568.55,2015-11-17 13:10:17.073717
Spindle,CZ-A1,589.45,590.6,2015-11-17 13:10:39.704100
Spindle,CZ-A1,601.92,603.14,2015-11-17 13:10:45.353697
Spindle,CZ-A1,626.22,627.1,2015-11-17 13:10:51.581114
Spindle,CZ-A1,658.9,659.91,2015-11-17 13:11:00.055297
Spindle,CZ-A1,694.79,695.94,2015-11-17 13:11:36.475717
Spindle,CZ-A1,718.76,719.37,2015-11-17 13:11:44.586917
Spindle,CZ-A1,726.83,727.42,2015-11-17 13:11:58.916438
Spindle,CZ-A1,728.91,729.52,2015-11-17 13:11:57.884427
Spindle,CZ-A1,735.36,736.24,2015-11-17 13:12:00.995352
Spindle,CZ-A1,742.64,743.54,2015-11-17 13:12:12.838832
Spindle,CZ-A1,747.87,749.36,2015-11-17 13:12:14.931769
Spindle,CZ-A1,774.72,775.67,2015-11-17 13:12:38.714239
Spindle,CZ-A1,781.38,782.52,2015-11-17 13:12:43.550440
Spindle,CZ-A1,817.18,818.2,2015-11-17 13:12:52.069293
Spindle,CZ-A1,831.39,832.58,2015-11-17 13:13:03.138538
Spindle,CZ-A1,834.16,835.31,2015-11-17 13:13:09.949373
Spindle,CZ-A1,851.86,852.83,2015-11-17 13:13:24.004633
Spindle,CZ-A1,870.21,871.07,2015-11-17 13:13:51.126364
Spindle,CZ-A1,873.44,874.48,2015-11-17 13:13:53.019557
Spindle,CZ-A1,880.72,881.8,2015-11-17 13:14:03.340982
Spindle,CZ-A1,906.25,907.28,2015-11-17 13:14:24.406437
Spindle,CZ-A1,908.84,909.42,2015-11-17 13:14:20.878063
Spindle,CZ-A1,913.3,914.21,2015-11-17 13:14:22.415169
Spindle,CZ-A1,920.09,920.93,2015-11-17 13:14:31.167527
Spindle,CZ-A1,943.83,944.64,2015-11-17 13:14:45.920725
Spindle,CZ-A1,955.27,956.19,2015-11-17 13:14:48.303000
Spindle,CZ-A1,976.68,977.68,2015-11-17 13:15:06.993548
Spindle,CZ-A1,986.9,987.74,2015-11-17 13:15:17.756452
Spindle,CZ-A1,992.29,993.05,2015-11-17 13:15:19.254099
Spindle,CZ-A1,1005.5,1006.72,2015-11-17 13:15:27.629135
Spindle,CZ-A1,1018.01,1019.41,2015-11-17 13:15:29.078512
Spindle,CZ-A1,1045.75,1046.7,2015-11-17 13:15:48.553105
Spindle,CZ-A1,1068.57,1069.7,2015-11-17 13:16:07.193417
Spindle,CZ-A1,1075.54,1076.39,2015-11-17 13:16:08.371918
Spindle,CZ-A1,1091.12,1091.82,2015-11-17 13:16:16.014449
Spindle,CZ-A1,1099.03,1099.66,2015-11-17 13:16:21.148769
