feature_type,channel,start,end,annotation_time
Spindle,C3-A1,282.37,282.77,2015-11-11 20:29:58.727271
Spindle,C3-A1,311.59,312.0,2015-11-11 20:31:04.449258
Spindle,C3-A1,340.27,340.83,2015-11-11 20:31:25.880639
Spindle,C3-A1,380.38,381.38,2015-11-11 20:32:32.638732
Spindle,C3-A1,396.82,397.54,2015-11-11 20:32:12.653647
Spindle,C3-A1,402.66,403.16,2015-11-11 20:32:51.868139
Spindle,C3-A1,437.25,438.44,2015-11-11 20:33:08.962159
Spindle,C3-A1,440.99,442.03,2015-11-11 20:33:22.840695
Spindle,C3-A1,443.97,444.92,2015-11-11 20:33:34.688557
Spindle,C3-A1,453.91,454.66,2015-11-11 20:33:27.962126
Spindle,C3-A1,468.55,468.97,2015-11-11 20:33:44.893123
Spindle,C3-A1,470.85,471.52,2015-11-11 20:33:49.655133
Spindle,C3-A1,528.5,529.45,2015-11-11 20:34:53.642697
Spindle,C3-A1,540.77,541.35,2015-11-11 20:35:08.362915
Spindle,C3-A1,543.9,544.65,2015-11-11 20:35:45.951886
Spindle,C3-A1,552.99,553.75,2015-11-11 20:35:18.583976
Spindle,C3-A1,556.98,557.93,2015-11-11 20:35:55.647689
Spindle,C3-A1,560.65,560.92,2015-11-11 20:36:10.854042
Spindle,C3-A1,575.88,577.07,2015-11-11 20:36:06.250982
Spindle,C3-A1,581.02,581.74,2015-11-11 20:36:24.865887
Spindle,C3-A1,610.78,611.12,2015-11-11 20:36:43.662937
Spindle,C3-A1,617.75,618.29,2015-11-11 20:36:51.202390
Spindle,C3-A1,631.23,632.52,2015-11-11 20:37:04.929636
Spindle,C3-A1,637.38,638.27,2015-11-11 20:37:08.122776
Spindle,C3-A1,652.24,652.88,2015-11-11 20:37:26.399593
Spindle,C3-A1,654.81,655.31,2015-11-11 20:37:29.059368
Spindle,C3-A1,665.71,666.88,2015-11-11 20:37:42.862946
Spindle,C3-A1,677.95,678.81,2015-11-11 20:37:46.287847
Spindle,C3-A1,686.2,687.21,2015-11-11 20:38:09.974373
Spindle,C3-A1,692.99,694.82,2015-11-11 20:38:06.030469
Spindle,C3-A1,702.7,703.31,2015-11-11 20:38:22.452334
Spindle,C3-A1,707.96,709.09,2015-11-11 20:38:26.575650
Spindle,C3-A1,726.9,727.49,2015-11-11 20:38:48.357618
Spindle,C3-A1,728.86,729.54,2015-11-11 20:39:07.805476
Spindle,C3-A1,735.4,736.24,2015-11-11 20:39:04.958245
Spindle,C3-A1,742.98,743.7,2015-11-11 20:39:19.291962
Spindle,C3-A1,747.04,747.96,2015-11-11 20:39:23.702839
Spindle,C3-A1,759.51,759.95,2015-11-11 20:39:27.594084
Spindle,C3-A1,781.47,782.75,2015-11-11 20:39:55.341234
Spindle,C3-A1,788.0,789.47,2015-11-11 20:40:00.604010
Spindle,C3-A1,810.96,812.74,2015-11-11 20:40:11.886770
Spindle,C3-A1,814.12,815.22,2015-11-11 20:40:17.712500
Spindle,C3-A1,823.63,824.58,2015-11-11 20:40:53.260691
Spindle,C3-A1,826.56,827.31,2015-11-11 20:40:48.366014
Spindle,C3-A1,834.21,835.22,2015-11-11 20:40:40.538228
Spindle,C3-A1,836.46,836.98,2015-11-11 20:40:44.599729
Spindle,C3-A1,847.33,848.66,2015-11-11 20:41:02.132974
Spindle,C3-A1,870.85,871.43,2015-11-11 20:41:21.617585
Spindle,C3-A1,893.96,894.7,2015-11-11 20:41:35.571553
Spindle,C3-A1,926.45,927.21,2015-11-11 20:41:59.711679
Spindle,C3-A1,946.07,947.04,2015-11-11 20:42:10.766814
Spindle,C3-A1,960.04,961.56,2015-11-11 20:42:18.701990
Spindle,C3-A1,975.22,976.53,2015-11-11 20:42:25.577959
Spindle,C3-A1,992.7,993.44,2015-11-11 20:42:38.788792
Spindle,C3-A1,1001.46,1001.96,2015-11-11 20:42:57.579791
Spindle,C3-A1,1004.1,1004.73,2015-11-11 20:42:53.991043
Spindle,C3-A1,1015.27,1016.23,2015-11-11 20:42:49.482019
Spindle,C3-A1,1020.54,1021.85,2015-11-11 20:43:06.316233
Spindle,C3-A1,1022.32,1022.8,2015-11-11 20:43:09.770147
Spindle,C3-A1,1028.55,1029.04,2015-11-11 20:43:13.114251
Spindle,C3-A1,1035.67,1036.3,2015-11-11 20:43:16.601586
