feature_type,channel,start,end,annotation_time
Spindle,C3-A1,282.34,282.82,2015-11-11 20:49:32.880151
Spindle,C3-A1,291.37,291.77,2015-11-11 20:49:52.909428
Spindle,C3-A1,311.46,311.99,2015-11-11 20:50:26.629635
Spindle,C3-A1,340.25,340.84,2015-11-11 20:50:50.016268
Spindle,C3-A1,345.44,345.89,2015-11-11 20:50:56.026241
Spindle,C3-A1,396.84,397.34,2015-11-11 20:51:39.032988
Spindle,C3-A1,402.64,403.18,2015-11-11 20:51:50.915805
Spindle,C3-A1,422.96,423.52,2015-11-11 20:52:13.608770
Spindle,C3-A1,437.3,438.31,2015-11-11 20:52:07.863802
Spindle,C3-A1,441.04,441.9,2015-11-11 20:52:27.341291
Spindle,C3-A1,444.29,444.87,2015-11-11 20:52:42.594708
Spindle,C3-A1,453.94,454.61,2015-11-11 20:52:32.034722
Spindle,C3-A1,464.46,465.21,2015-11-11 20:53:07.040674
Spindle,C3-A1,470.89,471.43,2015-11-11 20:52:57.981815
Spindle,C3-A1,481.69,482.17,2015-11-11 20:53:40.670110
Spindle,C3-A1,525.19,525.97,2015-11-11 20:54:11.281362
Spindle,C3-A1,528.66,529.38,2015-11-11 20:54:14.640979
Spindle,C3-A1,540.77,541.37,2015-11-11 20:54:24.137303
Spindle,C3-A1,543.86,544.56,2015-11-11 20:54:28.451678
Spindle,C3-A1,553.03,553.75,2015-11-11 20:54:31.547597
Spindle,C3-A1,559.73,560.0,2015-11-11 20:54:34.594776
Spindle,C3-A1,560.25,560.95,2015-11-11 20:55:06.610041
Spindle,C3-A1,575.88,576.98,2015-11-11 20:55:03.465898
Spindle,C3-A1,580.95,581.85,2015-11-11 20:55:13.955371
Spindle,C3-A1,595.26,595.83,2015-11-11 20:55:24.823785
Spindle,C3-A1,606.95,607.42,2015-11-11 20:55:43.884764
Spindle,C3-A1,610.75,611.18,2015-11-11 20:55:40.159752
Spindle,C3-A1,617.74,618.4,2015-11-11 20:55:37.258136
Spindle,C3-A1,631.3,632.49,2015-11-11 20:55:53.268005
Spindle,C3-A1,637.41,638.2,2015-11-11 20:55:57.535264
Spindle,C3-A1,645.79,646.47,2015-11-11 20:56:19.026130
Spindle,C3-A1,652.2,652.87,2015-11-11 20:56:25.615626
Spindle,C3-A1,665.75,666.81,2015-11-11 20:56:35.466345
Spindle,C3-A1,671.57,672.38,2015-11-11 20:56:48.143858
Spindle,C3-A1,677.88,678.72,2015-11-11 20:56:41.352110
Spindle,C3-A1,682.01,682.32,2015-11-11 20:56:54.901620
Spindle,C3-A1,686.29,686.83,2015-11-11 20:56:58.124368
Spindle,C3-A1,688.73,689.29,2015-11-11 20:57:00.978915
Spindle,C3-A1,693.57,694.2,2015-11-11 20:57:10.727209
Spindle,C3-A1,702.62,703.29,2015-11-11 20:57:18.753189
Spindle,C3-A1,707.91,709.04,2015-11-11 20:57:22.354699
Spindle,C3-A1,726.94,727.53,2015-11-11 20:57:33.755486
Spindle,C3-A1,728.72,729.47,2015-11-11 20:57:37.645454
Spindle,C3-A1,735.27,736.1,2015-11-11 20:57:40.473336
Spindle,C3-A1,743.09,743.7,2015-11-11 20:57:46.755318
Spindle,C3-A1,759.59,760.0,2015-11-11 20:57:50.587951
Spindle,C3-A1,781.64,782.34,2015-11-11 20:58:07.886068
Spindle,C3-A1,803.0,803.58,2015-11-11 20:58:29.772708
Spindle,C3-A1,810.94,812.94,2015-11-11 20:58:20.348080
Spindle,C3-A1,814.07,815.29,2015-11-11 20:58:22.421628
Spindle,C3-A1,818.27,818.74,2015-11-11 20:58:26.671661
Spindle,C3-A1,826.49,827.26,2015-11-11 20:58:37.548067
Spindle,C3-A1,834.18,835.31,2015-11-11 20:58:40.500302
Spindle,C3-A1,836.06,836.91,2015-11-11 20:58:43.713887
Spindle,C3-A1,847.19,848.59,2015-11-11 20:58:51.921468
Spindle,C3-A1,849.97,850.62,2015-11-11 20:58:58.165095
Spindle,C3-A1,896.1,896.64,2015-11-11 20:59:14.964236
Spindle,C3-A1,926.42,926.94,2015-11-11 20:59:31.069093
Spindle,C3-A1,939.25,939.68,2015-11-11 20:59:39.535426
Spindle,C3-A1,946.58,947.1,2015-11-11 20:59:46.172778
Spindle,C3-A1,960.11,961.56,2015-11-11 20:59:54.423895
Spindle,C3-A1,975.45,976.57,2015-11-11 20:59:57.684782
Spindle,C3-A1,992.56,993.28,2015-11-11 21:00:10.522062
Spindle,C3-A1,1001.37,1001.96,2015-11-11 21:00:26.089687
Spindle,C3-A1,1003.99,1004.85,2015-11-11 21:00:30.340813
Spindle,C3-A1,1015.27,1016.19,2015-11-11 21:00:32.892336
Spindle,C3-A1,1020.56,1021.83,2015-11-11 21:00:40.272322
Spindle,C3-A1,1022.08,1022.77,2015-11-11 21:00:42.123840
Spindle,C3-A1,1028.54,1029.04,2015-11-11 21:00:44.434847
