feature_type,channel,start,end,annotation_time
Spindle,C3-A1,282.34,282.98,2015-11-11 14:59:30.719244
Spindle,C3-A1,290.13,290.89,2015-11-11 14:59:36.892154
Spindle,C3-A1,293.42,294.02,2015-11-11 14:59:51.006692
Spindle,C3-A1,311.95,312.7,2015-11-11 15:00:18.766835
Spindle,C3-A1,313.19,313.87,2015-11-11 15:00:22.340027
Spindle,C3-A1,326.06,326.79,2015-11-11 15:00:31.147959
Spindle,C3-A1,345.37,346.06,2015-11-11 15:00:39.671903
Spindle,C3-A1,373.82,374.41,2015-11-11 15:00:47.132390
Spindle,C3-A1,377.99,378.81,2015-11-11 15:00:49.225886
Spindle,C3-A1,393.1,393.85,2015-11-11 15:00:54.461424
Spindle,C3-A1,396.73,397.68,2015-11-11 15:00:56.098884
Spindle,C3-A1,402.77,403.54,2015-11-11 15:01:04.070359
Spindle,C3-A1,418.2,419.25,2015-11-11 15:01:05.974231
Spindle,C3-A1,422.98,423.79,2015-11-11 15:01:25.941128
Spindle,C3-A1,437.72,438.6,2015-11-11 15:01:27.258101
Spindle,C3-A1,441.26,442.1,2015-11-11 15:01:31.572432
Spindle,C3-A1,444.03,444.58,2015-11-11 15:01:32.853976
Spindle,C3-A1,454.05,454.72,2015-11-11 15:01:34.331094
Spindle,C3-A1,469.83,470.49,2015-11-11 15:01:40.639957
Spindle,C3-A1,495.42,496.17,2015-11-11 15:01:49.106721
Spindle,C3-A1,505.88,506.45,2015-11-11 15:02:03.848083
Spindle,C3-A1,518.24,518.8,2015-11-11 15:02:05.354069
Spindle,C3-A1,525.3,525.97,2015-11-11 15:02:20.410218
Spindle,C3-A1,528.84,529.33,2015-11-11 15:02:23.063118
Spindle,C3-A1,544.22,545.0,2015-11-11 15:02:26.505215
Spindle,C3-A1,553.06,554.02,2015-11-11 15:02:27.990644
Spindle,C3-A1,576.17,576.64,2015-11-11 15:02:33.251314
Spindle,C3-A1,578.85,579.39,2015-11-11 15:02:34.528469
Spindle,C3-A1,595.13,595.97,2015-11-11 15:02:41.739389
Spindle,C3-A1,607.01,607.91,2015-11-11 15:02:46.362407
Spindle,C3-A1,617.79,618.38,2015-11-11 15:02:48.170143
Spindle,C3-A1,631.18,632.08,2015-11-11 15:02:53.811331
Spindle,C3-A1,637.14,638.02,2015-11-11 15:02:55.060637
Spindle,C3-A1,646.07,646.56,2015-11-11 15:02:58.064440
Spindle,C3-A1,650.62,651.16,2015-11-11 15:02:59.173474
Spindle,C3-A1,657.12,657.84,2015-11-11 15:03:00.739792
Spindle,C3-A1,665.82,666.85,2015-11-11 15:03:04.611925
Spindle,C3-A1,671.39,671.95,2015-11-11 15:03:06.252463
Spindle,C3-A1,678.04,678.85,2015-11-11 15:03:07.897579
Spindle,C3-A1,681.92,682.59,2015-11-11 15:03:15.331459
Spindle,C3-A1,686.34,687.04,2015-11-11 15:03:11.793068
Spindle,C3-A1,693.51,694.41,2015-11-11 15:03:13.013392
Spindle,C3-A1,702.66,703.34,2015-11-11 15:03:23.222473
Spindle,C3-A1,708.68,709.25,2015-11-11 15:03:19.843185
Spindle,C3-A1,715.97,716.95,2015-11-11 15:03:21.097614
Spindle,C3-A1,726.94,727.6,2015-11-11 15:03:27.624927
Spindle,C3-A1,735.33,736.21,2015-11-11 15:03:28.692186
Spindle,C3-A1,743.2,744.04,2015-11-11 15:04:24.135818
Spindle,C3-A1,759.53,759.82,2015-11-11 15:04:25.615739
Spindle,C3-A1,761.87,762.3,2015-11-11 15:04:29.400999
Spindle,C3-A1,777.14,777.77,2015-11-11 15:04:30.728536
Spindle,C3-A1,781.78,782.3,2015-11-11 15:04:36.841987
Spindle,C3-A1,795.85,796.39,2015-11-11 15:04:35.237254
Spindle,C3-A1,803.07,803.9,2015-11-11 15:04:46.642165
Spindle,C3-A1,811.59,812.49,2015-11-11 15:04:42.201887
Spindle,C3-A1,814.29,815.17,2015-11-11 15:04:43.250901
Spindle,C3-A1,818.44,819.07,2015-11-11 15:04:44.467061
Spindle,C3-A1,826.63,827.21,2015-11-11 15:04:51.750574
Spindle,C3-A1,834.56,835.27,2015-11-11 15:04:50.000872
Spindle,C3-A1,847.85,848.91,2015-11-11 15:04:55.173026
Spindle,C3-A1,858.44,859.01,2015-11-11 15:04:56.442778
Spindle,C3-A1,863.63,864.04,2015-11-11 15:05:02.954555
Spindle,C3-A1,870.75,871.63,2015-11-11 15:05:05.099325
Spindle,C3-A1,893.94,894.66,2015-11-11 15:05:14.721338
Spindle,C3-A1,896.39,896.93,2015-11-11 15:05:10.707449
