feature_type,channel,start,end,annotation_time
Spindle,C3-A1,282.46,283.12,2015-11-11 17:32:23.398453
Spindle,C3-A1,311.52,312.45,2015-11-11 17:33:23.198335
Spindle,C3-A1,340.38,341.04,2015-11-11 17:33:50.411279
Spindle,C3-A1,396.82,397.48,2015-11-11 17:34:30.703807
Spindle,C3-A1,437.3,438.2,2015-11-11 17:34:58.562986
Spindle,C3-A1,441.11,441.8,2015-11-11 17:35:05.668021
Spindle,C3-A1,454.0,454.57,2015-11-11 17:35:07.447358
Spindle,C3-A1,470.75,471.46,2015-11-11 17:35:21.925180
Spindle,C3-A1,525.27,525.95,2015-11-11 17:35:54.837687
Spindle,C3-A1,528.61,529.29,2015-11-11 17:35:58.081627
Spindle,C3-A1,540.68,541.44,2015-11-11 17:36:04.794815
Spindle,C3-A1,553.21,553.71,2015-11-11 17:36:07.844958
Spindle,C3-A1,575.85,576.53,2015-11-11 17:36:16.361568
Spindle,C3-A1,580.95,581.74,2015-11-11 17:36:25.569758
Spindle,C3-A1,617.66,618.36,2015-11-11 17:36:39.111660
Spindle,C3-A1,631.84,632.63,2015-11-11 17:36:43.954327
Spindle,C3-A1,637.29,638.19,2015-11-11 17:36:46.155678
Spindle,C3-A1,652.27,652.74,2015-11-11 17:36:57.875125
Spindle,C3-A1,654.75,655.27,2015-11-11 17:36:56.325792
Spindle,C3-A1,660.16,660.99,2015-11-11 17:37:12.320382
Spindle,C3-A1,665.73,666.85,2015-11-11 17:37:07.603797
Spindle,C3-A1,678.02,678.89,2015-11-11 17:37:09.292796
Spindle,C3-A1,686.02,686.86,2015-11-11 17:37:21.908970
Spindle,C3-A1,693.46,694.38,2015-11-11 17:37:19.248857
Spindle,C3-A1,702.66,703.41,2015-11-11 17:37:26.727575
Spindle,C3-A1,708.19,709.07,2015-11-11 17:37:28.360387
Spindle,C3-A1,728.81,729.45,2015-11-11 17:37:35.465465
Spindle,C3-A1,735.4,736.23,2015-11-11 17:37:37.550455
Spindle,C3-A1,743.04,743.79,2015-11-11 17:37:41.774810
Spindle,C3-A1,781.6,782.68,2015-11-11 17:38:03.212909
Spindle,C3-A1,811.55,812.63,2015-11-11 17:38:07.833308
Spindle,C3-A1,814.23,815.13,2015-11-11 17:38:09.721293
Spindle,C3-A1,826.56,827.31,2015-11-11 17:38:13.739395
Spindle,C3-A1,834.12,835.27,2015-11-11 17:38:15.038857
Spindle,C3-A1,847.22,848.63,2015-11-11 17:38:18.805832
Spindle,C3-A1,926.43,927.48,2015-11-11 17:38:49.424202
Spindle,C3-A1,946.09,946.95,2015-11-11 17:38:57.163158
Spindle,C3-A1,960.14,961.33,2015-11-11 17:39:01.551758
Spindle,C3-A1,975.36,976.6,2015-11-11 17:39:03.419521
Spindle,C3-A1,992.29,993.51,2015-11-11 17:39:08.809270
Spindle,C3-A1,1001.15,1002.05,2015-11-11 17:39:15.694893
Spindle,C3-A1,1004.03,1004.67,2015-11-11 17:39:17.937915
Spindle,C3-A1,1015.13,1016.21,2015-11-11 17:39:13.515707
Spindle,C3-A1,1021.2,1021.9,2015-11-11 17:39:26.037875
Spindle,C3-A1,1022.26,1022.8,2015-11-11 17:39:27.458018
Spindle,C3-A1,1028.55,1029.07,2015-11-11 17:39:30.075776
