feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,9.87,10.98,2015-11-17 12:00:33.772374
Spindle,CZ-A1,44.17,45.23,2015-11-17 12:05:42.079625
Spindle,CZ-A1,58.85,59.71,2015-11-17 12:05:46.109427
Spindle,CZ-A1,73.57,74.72,2015-11-17 12:16:10.618477
Spindle,CZ-A1,89.22,90.04,2015-11-17 12:17:24.750439
Spindle,CZ-A1,93.87,94.77,2015-11-17 12:17:27.700743
Spindle,CZ-A1,97.47,98.15,2015-11-17 12:17:33.331503
Spindle,CZ-A1,112.29,113.21,2015-11-17 12:17:43.885081
Spindle,CZ-A1,114.14,114.86,2015-11-17 12:17:46.563025
Spindle,CZ-A1,118.58,119.39,2015-11-17 12:17:49.399712
Spindle,CZ-A1,130.98,131.73,2015-11-17 12:18:12.627914
Spindle,CZ-A1,152.08,152.81,2015-11-17 12:18:33.848046
Spindle,CZ-A1,192.92,193.62,2015-11-17 12:19:14.066603
Spindle,CZ-A1,200.66,201.28,2015-11-17 12:19:23.396923
Spindle,CZ-A1,217.83,218.53,2015-11-17 12:19:31.308991
Spindle,CZ-A1,252.54,253.51,2015-11-17 12:19:56.512770
Spindle,CZ-A1,271.18,271.97,2015-11-17 12:21:05.671696
Spindle,CZ-A1,296.15,296.96,2015-11-17 12:21:18.777092
Spindle,CZ-A1,307.83,308.68,2015-11-17 12:22:57.227133
Spindle,CZ-A1,332.33,333.08,2015-11-17 12:23:12.536675
Spindle,CZ-A1,343.49,344.46,2015-11-17 12:23:31.653197
Spindle,CZ-A1,351.25,352.11,2015-11-17 12:23:28.532784
Spindle,CZ-A1,355.88,356.66,2015-11-17 12:23:22.933906
Spindle,CZ-A1,366.11,367.01,2015-11-17 12:23:43.482208
Spindle,CZ-A1,391.14,391.84,2015-11-17 12:23:49.650229
Spindle,CZ-A1,403.97,404.78,2015-11-17 12:24:20.679384
Spindle,CZ-A1,429.6,430.31,2015-11-17 12:47:07.323272
Spindle,CZ-A1,440.54,441.37,2015-11-17 12:47:20.537570
Spindle,CZ-A1,466.36,466.74,2015-11-17 12:47:52.823311
Spindle,CZ-A1,466.58,467.17,2015-11-17 12:47:56.110129
Spindle,CZ-A1,472.78,473.33,2015-11-17 12:48:01.035936
Spindle,CZ-A1,484.04,484.64,2015-11-17 12:48:34.190980
Spindle,CZ-A1,511.72,512.31,2015-11-17 12:48:50.507079
Spindle,CZ-A1,523.49,524.01,2015-11-17 12:49:03.874271
Spindle,CZ-A1,537.38,538.06,2015-11-17 12:49:07.681803
Spindle,CZ-A1,542.01,542.66,2015-11-17 12:49:15.124861
Spindle,CZ-A1,564.4,564.76,2015-11-17 12:49:36.721214
Spindle,CZ-A1,568.05,568.43,2015-11-17 12:49:34.286743
Spindle,CZ-A1,571.9,572.56,2015-11-17 12:49:31.791134
Spindle,CZ-A1,590.08,590.75,2015-11-17 12:49:57.125137
Spindle,CZ-A1,602.37,603.58,2015-11-17 12:50:03.549298
Spindle,CZ-A1,626.24,626.9,2015-11-17 12:50:15.874801
Spindle,CZ-A1,653.64,654.48,2015-11-17 12:50:22.531054
Spindle,CZ-A1,664.98,666.06,2015-11-17 12:50:35.554322
Spindle,CZ-A1,670.06,670.78,2015-11-17 12:50:32.498898
Spindle,CZ-A1,687.53,687.98,2015-11-17 12:50:46.896741
Spindle,CZ-A1,695.11,695.63,2015-11-17 12:50:42.895382
Spindle,CZ-A1,728.88,729.78,2015-11-17 12:51:07.523765
Spindle,CZ-A1,735.44,736.12,2015-11-17 12:51:04.429320
Spindle,CZ-A1,742.71,743.52,2015-11-17 12:51:13.420106
Spindle,CZ-A1,748.41,749.06,2015-11-17 12:51:22.611628
Spindle,CZ-A1,774.88,775.87,2015-11-17 12:51:29.220819
Spindle,CZ-A1,781.44,782.43,2015-11-17 12:51:38.005926
Spindle,CZ-A1,817.3,818.06,2015-11-17 12:51:43.530205
Spindle,CZ-A1,830.93,832.61,2015-11-17 12:51:50.420504
Spindle,CZ-A1,834.29,835.36,2015-11-17 12:51:54.039561
Spindle,CZ-A1,848.54,849.07,2015-11-17 12:51:59.113622
Spindle,CZ-A1,852.17,852.74,2015-11-17 12:52:01.510913
Spindle,CZ-A1,873.69,874.63,2015-11-17 12:52:11.878780
Spindle,CZ-A1,886.95,887.89,2015-11-17 12:52:20.283282
Spindle,CZ-A1,895.15,895.97,2015-11-17 12:52:17.192053
Spindle,CZ-A1,905.93,907.67,2015-11-17 12:52:26.922137
Spindle,CZ-A1,912.94,913.91,2015-11-17 12:52:25.739555
Spindle,CZ-A1,936.03,937.14,2015-11-17 12:52:31.839176
Spindle,CZ-A1,944.28,945.19,2015-11-17 12:52:38.393380
Spindle,CZ-A1,954.93,956.21,2015-11-17 12:52:36.795311
Spindle,CZ-A1,969.65,970.69,2015-11-17 12:52:43.394022
Spindle,CZ-A1,976.82,978.29,2015-11-17 12:52:45.170126
Spindle,CZ-A1,986.85,987.73,2015-11-17 12:52:54.680158
Spindle,CZ-A1,992.4,993.42,2015-11-17 12:52:52.221484
Spindle,CZ-A1,1005.8,1007.28,2015-11-17 12:52:58.226187
Spindle,CZ-A1,1017.79,1019.03,2015-11-17 12:52:59.921255
