feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,9.6,11.09,2015-11-17 12:19:26.417660
Spindle,CZ-A1,34.61,36.53,2015-11-17 12:19:37.406087
Spindle,CZ-A1,44.29,45.48,2015-11-17 12:19:45.244267
Spindle,CZ-A1,60.63,62.17,2015-11-17 12:19:49.665719
Spindle,CZ-A1,74.45,76.01,2015-11-17 12:19:51.307277
Spindle,CZ-A1,88.66,90.46,2015-11-17 12:19:55.761570
Spindle,CZ-A1,93.89,95.18,2015-11-17 12:19:57.580240
Spindle,CZ-A1,96.41,98.51,2015-11-17 12:19:59.125841
Spindle,CZ-A1,113.57,114.99,2015-11-17 12:20:06.982555
Spindle,CZ-A1,118.04,120.0,2015-11-17 12:20:08.504316
Spindle,CZ-A1,120.36,121.28,2015-11-17 12:20:13.004059
Spindle,CZ-A1,132.63,134.38,2015-11-17 12:20:14.264976
Spindle,CZ-A1,144.37,145.27,2015-11-17 12:20:18.964335
Spindle,CZ-A1,161.15,162.73,2015-11-17 12:20:23.327687
Spindle,CZ-A1,168.55,170.67,2015-11-17 12:20:24.685852
Spindle,CZ-A1,192.7,194.34,2015-11-17 12:20:31.765895
Spindle,CZ-A1,200.47,201.74,2015-11-17 12:20:35.817015
Spindle,CZ-A1,220.93,221.87,2015-11-17 12:20:41.352391
Spindle,CZ-A1,222.34,223.04,2015-11-17 12:20:42.844602
Spindle,CZ-A1,228.3,229.34,2015-11-17 12:20:44.767856
Spindle,CZ-A1,251.82,253.73,2015-11-17 12:20:49.638029
Spindle,CZ-A1,270.51,271.77,2015-11-17 12:20:54.158733
Spindle,CZ-A1,275.9,277.39,2015-11-17 12:20:55.720260
Spindle,CZ-A1,286.65,288.61,2015-11-17 12:21:00.205534
Spindle,CZ-A1,290.15,292.17,2015-11-17 12:21:05.500823
Spindle,CZ-A1,294.56,295.88,2015-11-17 12:21:03.165563
Spindle,CZ-A1,301.42,303.45,2015-11-17 12:21:12.250745
Spindle,CZ-A1,307.15,308.68,2015-11-17 12:21:09.323886
Spindle,CZ-A1,309.27,311.07,2015-11-17 12:21:10.656148
Spindle,CZ-A1,332.04,333.64,2015-11-17 12:21:16.052571
Spindle,CZ-A1,342.59,344.53,2015-11-17 12:21:19.810012
Spindle,CZ-A1,346.56,348.16,2015-11-17 12:21:18.884755
Spindle,CZ-A1,365.46,368.21,2015-11-17 12:21:22.904235
Spindle,CZ-A1,370.42,372.36,2015-11-17 12:21:24.725556
Spindle,CZ-A1,389.47,392.15,2015-11-17 12:21:28.828575
Spindle,CZ-A1,403.81,404.83,2015-11-17 12:21:32.013631
Spindle,CZ-A1,415.9,417.77,2015-11-17 12:21:33.515525
Spindle,CZ-A1,425.55,429.18,2015-11-17 12:21:37.740049
Spindle,CZ-A1,440.0,443.18,2015-11-17 12:21:41.867056
Spindle,CZ-A1,472.6,473.94,2015-11-17 12:21:47.856064
Spindle,CZ-A1,480.56,481.99,2015-11-17 12:21:51.390692
Spindle,CZ-A1,483.77,485.3,2015-11-17 12:21:53.522728
Spindle,CZ-A1,504.03,506.25,2015-11-17 12:21:58.621776
Spindle,CZ-A1,523.4,525.32,2015-11-17 12:22:02.748874
Spindle,CZ-A1,537.16,538.29,2015-11-17 12:22:04.785992
Spindle,CZ-A1,542.01,542.71,2015-11-17 12:22:08.947123
Spindle,CZ-A1,553.75,555.54,2015-11-17 12:22:11.156009
Spindle,CZ-A1,560.0,561.71,2015-11-17 12:22:15.141237
Spindle,CZ-A1,575.31,576.59,2015-11-17 12:22:17.060735
Spindle,CZ-A1,589.43,591.16,2015-11-17 12:22:20.909593
Spindle,CZ-A1,595.97,597.39,2015-11-17 12:22:22.202125
Spindle,CZ-A1,602.08,603.23,2015-11-17 12:22:25.857707
Spindle,CZ-A1,608.18,610.08,2015-11-17 12:22:27.601801
Spindle,CZ-A1,626.16,627.64,2015-11-17 12:22:30.636538
Spindle,CZ-A1,658.38,660.0,2015-11-17 12:22:35.521931
Spindle,CZ-A1,662.03,663.81,2015-11-17 12:22:41.664631
Spindle,CZ-A1,669.25,670.85,2015-11-17 12:22:43.051797
Spindle,CZ-A1,678.2,680.0,2015-11-17 12:22:44.415161
Spindle,CZ-A1,687.33,688.0,2015-11-17 12:22:47.456558
Spindle,CZ-A1,695.09,695.8,2015-11-17 12:22:49.090778
Spindle,CZ-A1,714.84,716.59,2015-11-17 12:22:54.686037
Spindle,CZ-A1,728.36,729.51,2015-11-17 12:22:59.380689
Spindle,CZ-A1,735.35,736.28,2015-11-17 12:23:01.560611
Spindle,CZ-A1,742.57,743.56,2015-11-17 12:23:05.287526
Spindle,CZ-A1,748.0,749.52,2015-11-17 12:23:07.457849
Spindle,CZ-A1,762.59,763.79,2015-11-17 12:23:11.305415
Spindle,CZ-A1,774.72,776.06,2015-11-17 12:23:12.635034
Spindle,CZ-A1,781.22,782.44,2015-11-17 12:23:18.391930
Spindle,CZ-A1,800.72,802.3,2015-11-17 12:23:23.238593
Spindle,CZ-A1,814.36,816.03,2015-11-17 12:23:24.937914
Spindle,CZ-A1,814.45,815.92,2015-11-17 12:23:28.377840
Spindle,CZ-A1,814.56,814.97,2015-11-17 12:23:30.438351
Spindle,CZ-A1,814.79,815.33,2015-11-17 12:23:31.273303
Spindle,CZ-A1,814.9,815.38,2015-11-17 12:23:30.048238
Spindle,CZ-A1,815.06,815.65,2015-11-17 12:23:26.846712
Spindle,CZ-A1,815.31,815.85,2015-11-17 12:23:29.553864
Spindle,CZ-A1,817.52,817.99,2015-11-17 12:23:26.284067
Spindle,CZ-A1,831.03,832.76,2015-11-17 12:23:41.885359
Spindle,CZ-A1,834.14,834.9,2015-11-17 12:23:43.654653
Spindle,CZ-A1,850.37,851.34,2015-11-17 12:23:53.415467
Spindle,CZ-A1,851.81,853.03,2015-11-17 12:23:52.323822
Spindle,CZ-A1,860.41,861.11,2015-11-17 12:23:57.692101
Spindle,CZ-A1,870.28,871.23,2015-11-17 12:24:00.911180
Spindle,CZ-A1,881.19,883.13,2015-11-17 12:24:04.599996
Spindle,CZ-A1,886.59,888.48,2015-11-17 12:24:07.562190
Spindle,CZ-A1,905.68,907.13,2015-11-17 12:24:11.620361
Spindle,CZ-A1,912.96,914.2,2015-11-17 12:24:12.758172
Spindle,CZ-A1,920.0,921.02,2015-11-17 12:24:15.764088
Spindle,CZ-A1,935.65,937.04,2015-11-17 12:24:17.469564
Spindle,CZ-A1,941.19,942.26,2015-11-17 12:24:21.004085
Spindle,CZ-A1,943.94,944.89,2015-11-17 12:24:22.087772
Spindle,CZ-A1,954.93,956.46,2015-11-17 12:24:23.937113
Spindle,CZ-A1,969.76,970.57,2015-11-17 12:24:28.000150
Spindle,CZ-A1,976.77,978.13,2015-11-17 12:24:29.539828
Spindle,CZ-A1,986.61,987.87,2015-11-17 12:24:37.156422
Spindle,CZ-A1,992.24,993.28,2015-11-17 12:24:38.233560
Spindle,CZ-A1,1005.41,1007.3,2015-11-17 12:24:41.584439
Spindle,CZ-A1,1017.84,1018.94,2015-11-17 12:24:43.180238
Spindle,CZ-A1,1025.28,1026.27,2015-11-17 12:24:48.364443
Spindle,CZ-A1,1042.23,1044.08,2015-11-17 12:24:53.130203
Spindle,CZ-A1,1044.74,1046.5,2015-11-17 12:24:53.915322
Spindle,CZ-A1,1061.31,1062.59,2015-11-17 12:24:58.142310
Spindle,CZ-A1,1068.27,1069.49,2015-11-17 12:24:59.691125
Spindle,CZ-A1,1086.5,1087.39,2015-11-17 12:25:03.242361
Spindle,CZ-A1,1099.14,1100.0,2015-11-17 12:25:05.324572
