feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,9.72,10.96,2015-11-17 14:24:45.280462
Spindle,CZ-A1,34.63,34.95,2015-11-17 14:25:39.010860
Spindle,CZ-A1,44.35,44.92,2015-11-17 14:26:06.596302
Spindle,CZ-A1,58.92,59.69,2015-11-17 14:26:01.815550
Spindle,CZ-A1,73.67,74.65,2015-11-17 14:26:13.796320
Spindle,CZ-A1,89.27,89.87,2015-11-17 14:26:20.643903
Spindle,CZ-A1,94.03,94.52,2015-11-17 14:26:19.101040
Spindle,CZ-A1,112.52,113.14,2015-11-17 14:26:27.860944
Spindle,CZ-A1,114.05,114.91,2015-11-17 14:26:25.070405
Spindle,CZ-A1,118.17,119.37,2015-11-17 14:26:33.865071
Spindle,CZ-A1,120.54,121.2,2015-11-17 14:26:42.367834
Spindle,CZ-A1,127.15,127.8,2015-11-17 14:26:39.574978
Spindle,CZ-A1,130.84,131.55,2015-11-17 14:26:43.690413
Spindle,CZ-A1,132.97,133.71,2015-11-17 14:26:45.220007
Spindle,CZ-A1,140.7,141.92,2015-11-17 14:26:53.666663
Spindle,CZ-A1,144.62,145.46,2015-11-17 14:26:51.394270
Spindle,CZ-A1,152.08,152.65,2015-11-17 14:26:49.709107
Spindle,CZ-A1,158.58,159.86,2015-11-17 14:26:55.326392
Spindle,CZ-A1,162.53,163.99,2015-11-17 14:27:09.536690
Spindle,CZ-A1,188.86,189.76,2015-11-17 14:27:33.312793
Spindle,CZ-A1,193.1,193.57,2015-11-17 14:27:24.367833
Spindle,CZ-A1,200.63,201.33,2015-11-17 14:27:40.973636
Spindle,CZ-A1,216.91,218.62,2015-11-17 14:27:44.148532
Spindle,CZ-A1,221.19,221.73,2015-11-17 14:28:12.864417
Spindle,CZ-A1,222.41,222.77,2015-11-17 14:28:11.163967
Spindle,CZ-A1,228.54,229.04,2015-11-17 14:28:09.308215
Spindle,CZ-A1,235.58,236.62,2015-11-17 14:28:05.938868
Spindle,CZ-A1,252.76,253.5,2015-11-17 14:28:19.807115
Spindle,CZ-A1,271.03,272.08,2015-11-17 14:28:28.284503
Spindle,CZ-A1,276.37,277.32,2015-11-17 14:28:36.759994
Spindle,CZ-A1,280.61,281.76,2015-11-17 14:28:51.775921
Spindle,CZ-A1,291.93,293.03,2015-11-17 14:28:47.219789
Spindle,CZ-A1,295.53,296.91,2015-11-17 14:28:45.549201
Spindle,CZ-A1,303.47,304.65,2015-11-17 14:29:02.850968
Spindle,CZ-A1,307.06,308.7,2015-11-17 14:28:57.425349
Spindle,CZ-A1,331.99,333.78,2015-11-17 14:29:12.271934
Spindle,CZ-A1,342.98,343.94,2015-11-17 14:29:24.693074
Spindle,CZ-A1,346.65,347.83,2015-11-17 14:29:17.189071
Spindle,CZ-A1,350.94,352.09,2015-11-17 14:29:22.970583
Spindle,CZ-A1,355.45,356.71,2015-11-17 14:29:19.669600
Spindle,CZ-A1,365.71,367.1,2015-11-17 14:29:44.578590
Spindle,CZ-A1,369.97,371.66,2015-11-17 14:29:35.406768
Spindle,CZ-A1,387.26,388.34,2015-11-17 14:29:50.893645
Spindle,CZ-A1,389.63,391.86,2015-11-17 14:29:49.344695
Spindle,CZ-A1,403.25,406.06,2015-11-17 14:29:59.647447
Spindle,CZ-A1,415.96,417.88,2015-11-17 14:29:56.691827
Spindle,CZ-A1,425.57,430.12,2015-11-17 14:30:07.350355
Spindle,CZ-A1,440.59,441.38,2015-11-17 14:30:15.878886
Spindle,CZ-A1,449.69,450.24,2015-11-17 14:30:12.705997
Spindle,CZ-A1,472.76,473.58,2015-11-17 14:30:22.394867
Spindle,CZ-A1,480.79,481.89,2015-11-17 14:30:27.022279
Spindle,CZ-A1,488.21,489.22,2015-11-17 14:30:28.499073
Spindle,CZ-A1,491.46,492.04,2015-11-17 14:30:31.256586
Spindle,CZ-A1,501.51,502.23,2015-11-17 14:30:40.331359
Spindle,CZ-A1,511.73,512.4,2015-11-17 14:30:35.634587
Spindle,CZ-A1,523.56,523.97,2015-11-17 14:30:48.165634
Spindle,CZ-A1,537.25,538.02,2015-11-17 14:30:45.171909
Spindle,CZ-A1,542.12,542.57,2015-11-17 14:30:52.880859
Spindle,CZ-A1,548.25,548.89,2015-11-17 14:30:57.128922
Spindle,CZ-A1,554.05,555.33,2015-11-17 14:30:55.119535
Spindle,CZ-A1,560.0,561.42,2015-11-17 14:31:02.468240
Spindle,CZ-A1,575.2,576.46,2015-11-17 14:31:05.018233
Spindle,CZ-A1,589.51,590.48,2015-11-17 14:31:08.338633
Spindle,CZ-A1,595.63,597.0,2015-11-17 14:31:10.681856
Spindle,CZ-A1,602.08,603.23,2015-11-17 14:31:17.683790
Spindle,CZ-A1,608.25,610.06,2015-11-17 14:31:15.887266
Spindle,CZ-A1,625.73,627.3,2015-11-17 14:31:22.713172
Spindle,CZ-A1,632.38,632.78,2015-11-17 14:31:25.809189
Spindle,CZ-A1,640.23,640.84,2015-11-17 14:31:34.521884
Spindle,CZ-A1,646.76,647.21,2015-11-17 14:31:32.788617
Spindle,CZ-A1,653.69,654.23,2015-11-17 14:31:29.817051
Spindle,CZ-A1,664.98,665.68,2015-11-17 14:31:45.181026
Spindle,CZ-A1,669.85,670.62,2015-11-17 14:31:39.311359
Spindle,CZ-A1,678.02,679.12,2015-11-17 14:31:42.951481
Spindle,CZ-A1,687.48,688.03,2015-11-17 14:31:49.076499
Spindle,CZ-A1,695.24,695.76,2015-11-17 14:31:51.411196
Spindle,CZ-A1,701.9,702.3,2015-11-17 14:31:58.143581
Spindle,CZ-A1,711.37,712.51,2015-11-17 14:32:02.028557
Spindle,CZ-A1,723.2,723.97,2015-11-17 14:32:12.384741
Spindle,CZ-A1,726.86,727.62,2015-11-17 14:32:10.028418
Spindle,CZ-A1,728.81,729.51,2015-11-17 14:32:08.628528
Spindle,CZ-A1,735.31,736.32,2015-11-17 14:32:07.002774
Spindle,CZ-A1,742.53,743.36,2015-11-17 14:32:16.263723
Spindle,CZ-A1,748.37,749.43,2015-11-17 14:32:18.931063
Spindle,CZ-A1,774.68,775.92,2015-11-17 14:32:25.298581
Spindle,CZ-A1,801.19,801.96,2015-11-17 14:32:40.316327
Spindle,CZ-A1,817.34,818.15,2015-11-17 14:32:37.021708
Spindle,CZ-A1,822.95,823.61,2015-11-17 14:32:47.159446
Spindle,CZ-A1,831.0,832.83,2015-11-17 14:32:44.023410
Spindle,CZ-A1,834.18,835.2,2015-11-17 14:32:45.585034
Spindle,CZ-A1,838.01,838.96,2015-11-17 14:32:49.223395
Spindle,CZ-A1,860.4,860.99,2015-11-17 14:33:06.234533
Spindle,CZ-A1,864.73,865.3,2015-11-17 14:33:04.218761
Spindle,CZ-A1,873.64,874.29,2015-11-17 14:33:02.311412
Spindle,CZ-A1,881.29,882.23,2015-11-17 14:33:20.119368
Spindle,CZ-A1,886.94,888.34,2015-11-17 14:33:18.781217
Spindle,CZ-A1,895.17,895.54,2015-11-17 14:33:14.578141
Spindle,CZ-A1,895.49,896.19,2015-11-17 14:33:11.905285
Spindle,CZ-A1,906.15,907.01,2015-11-17 14:33:25.523510
Spindle,CZ-A1,908.55,909.25,2015-11-17 14:33:30.063426
Spindle,CZ-A1,912.97,914.03,2015-11-17 14:33:27.870721
Spindle,CZ-A1,920.0,921.1,2015-11-17 14:33:33.955333
Spindle,CZ-A1,935.87,937.16,2015-11-17 14:33:35.800144
Spindle,CZ-A1,941.26,942.07,2015-11-17 14:33:41.755322
Spindle,CZ-A1,944.01,944.78,2015-11-17 14:33:44.067392
Spindle,CZ-A1,953.35,953.98,2015-11-17 14:33:45.533765
Spindle,CZ-A1,955.15,956.35,2015-11-17 14:33:47.115024
Spindle,CZ-A1,969.72,970.15,2015-11-17 14:33:55.813002
Spindle,CZ-A1,973.39,974.16,2015-11-17 14:33:54.379638
Spindle,CZ-A1,976.71,977.93,2015-11-17 14:33:52.826235
Spindle,CZ-A1,984.03,984.37,2015-11-17 14:34:08.002621
Spindle,CZ-A1,986.9,987.51,2015-11-17 14:34:06.399191
Spindle,CZ-A1,991.46,992.88,2015-11-17 14:34:00.551649
Spindle,CZ-A1,996.89,997.47,2015-11-17 14:34:03.719956
Spindle,CZ-A1,998.58,999.17,2015-11-17 14:34:02.004791
Spindle,CZ-A1,1005.39,1006.68,2015-11-17 14:34:14.277799
Spindle,CZ-A1,1011.43,1012.78,2015-11-17 14:34:18.801282
Spindle,CZ-A1,1017.88,1018.85,2015-11-17 14:34:16.482299
Spindle,CZ-A1,1023.59,1024.24,2015-11-17 14:34:23.405293
Spindle,CZ-A1,1034.79,1035.65,2015-11-17 14:34:26.529787
Spindle,CZ-A1,1042.1,1044.1,2015-11-17 14:34:34.426440
Spindle,CZ-A1,1045.88,1046.4,2015-11-17 14:34:36.812087
Spindle,CZ-A1,1057.66,1059.8,2015-11-17 14:34:40.454619
Spindle,CZ-A1,1061.64,1062.23,2015-11-17 14:34:44.223977
Spindle,CZ-A1,1068.34,1069.9,2015-11-17 14:34:49.507459
Spindle,CZ-A1,1075.81,1076.78,2015-11-17 14:34:47.132883
Spindle,CZ-A1,1083.65,1084.28,2015-11-17 14:35:00.165141
Spindle,CZ-A1,1086.2,1087.21,2015-11-17 14:35:01.885643
Spindle,CZ-A1,1090.94,1091.95,2015-11-17 14:34:56.089051
