feature_type,channel,start,end,annotation_time
Spindle,CZ-A1,0.75,1.28,2015-11-17 15:11:00.201235
Spindle,CZ-A1,8.95,9.4,2015-11-17 15:11:06.701658
Spindle,CZ-A1,9.69,11.02,2015-11-17 15:11:20.684859
Spindle,CZ-A1,44.42,45.0,2015-11-17 15:12:43.240831
Spindle,CZ-A1,58.85,59.73,2015-11-17 15:12:52.846442
Spindle,CZ-A1,73.42,74.56,2015-11-17 15:13:29.629337
Spindle,CZ-A1,89.31,89.94,2015-11-17 15:13:49.456455
Spindle,CZ-A1,93.96,94.66,2015-11-17 15:13:46.368889
Spindle,CZ-A1,112.4,113.3,2015-11-17 15:14:10.471812
Spindle,CZ-A1,114.14,114.86,2015-11-17 15:14:12.813690
Spindle,CZ-A1,118.54,119.14,2015-11-17 15:14:15.349000
Spindle,CZ-A1,120.54,121.04,2015-11-17 15:14:49.348113
Spindle,CZ-A1,127.12,127.96,2015-11-17 15:14:51.640467
Spindle,CZ-A1,130.89,131.61,2015-11-17 15:14:44.087155
Spindle,CZ-A1,133.01,133.46,2015-11-17 15:14:46.246571
Spindle,CZ-A1,152.04,152.56,2015-11-17 15:15:07.462970
Spindle,CZ-A1,162.64,163.94,2015-11-17 15:15:25.173428
Spindle,CZ-A1,169.16,169.79,2015-11-17 15:15:27.741820
Spindle,CZ-A1,179.35,179.95,2015-11-17 15:15:30.408235
Spindle,CZ-A1,193.17,193.62,2015-11-17 15:15:46.293120
Spindle,CZ-A1,200.66,201.4,2015-11-17 15:16:02.070874
Spindle,CZ-A1,217.79,218.49,2015-11-17 15:16:04.932421
Spindle,CZ-A1,222.3,222.86,2015-11-17 15:16:30.581646
Spindle,CZ-A1,232.58,233.26,2015-11-17 15:16:34.131631
Spindle,CZ-A1,252.69,253.5,2015-11-17 15:17:09.235135
Spindle,CZ-A1,271.18,271.77,2015-11-17 15:17:25.668647
Spindle,CZ-A1,287.73,288.34,2015-11-17 15:18:31.283971
Spindle,CZ-A1,294.18,294.43,2015-11-17 15:18:28.493696
Spindle,CZ-A1,295.56,295.96,2015-11-17 15:18:26.641062
Spindle,CZ-A1,301.99,302.53,2015-11-17 15:19:23.002151
Spindle,CZ-A1,307.33,308.66,2015-11-17 15:19:15.626240
Spindle,CZ-A1,310.19,310.66,2015-11-17 15:19:18.019573
Spindle,CZ-A1,313.78,314.43,2015-11-17 15:19:20.921549
Spindle,CZ-A1,332.27,332.97,2015-11-17 15:19:49.511267
Spindle,CZ-A1,346.88,347.91,2015-11-17 15:20:03.428936
Spindle,CZ-A1,351.5,352.11,2015-11-17 15:20:08.520244
Spindle,CZ-A1,355.76,356.59,2015-11-17 15:20:05.751269
Spindle,CZ-A1,366.68,367.08,2015-11-17 15:21:11.408354
Spindle,CZ-A1,377.02,377.43,2015-11-17 15:21:09.252521
Spindle,CZ-A1,386.22,386.76,2015-11-17 15:21:28.346811
Spindle,CZ-A1,389.92,391.73,2015-11-17 15:21:24.681970
Spindle,CZ-A1,398.24,398.85,2015-11-17 15:21:26.483166
Spindle,CZ-A1,403.95,404.83,2015-11-17 15:21:47.179624
Spindle,CZ-A1,416.1,417.83,2015-11-17 15:21:50.642678
Spindle,CZ-A1,423.95,424.17,2015-11-17 15:22:46.236294
Spindle,CZ-A1,427.51,428.34,2015-11-17 15:22:49.466214
Spindle,CZ-A1,440.68,441.33,2015-11-17 15:23:50.433303
Spindle,CZ-A1,449.83,450.28,2015-11-17 15:23:52.632152
Spindle,CZ-A1,466.38,467.21,2015-11-17 15:24:05.978000
Spindle,CZ-A1,472.78,473.71,2015-11-17 15:24:03.221943
Spindle,CZ-A1,480.84,481.71,2015-11-17 15:24:35.125197
Spindle,CZ-A1,483.81,484.92,2015-11-17 15:24:38.373143
Spindle,CZ-A1,488.43,489.24,2015-11-17 15:24:45.791339
Spindle,CZ-A1,511.75,512.61,2015-11-17 15:25:05.362517
Spindle,CZ-A1,517.05,518.17,2015-11-17 15:25:07.767665
Spindle,CZ-A1,537.27,538.19,2015-11-17 15:25:41.386475
Spindle,CZ-A1,541.87,542.71,2015-11-17 15:25:51.137663
Spindle,CZ-A1,554.16,555.0,2015-11-17 15:25:52.924019
Spindle,CZ-A1,560.13,561.65,2015-11-17 15:26:12.267192
Spindle,CZ-A1,568.16,568.61,2015-11-17 15:26:16.404224
