feature_type,channel,start,end
Spindle,C3-A1,282.41,282.91
Spindle,C3-A1,340.29,340.84
Spindle,C3-A1,378.04,378.53
Spindle,C3-A1,396.82,397.3
Spindle,C3-A1,407.21,407.57
Spindle,C3-A1,423.0,423.52
Spindle,C3-A1,441.2,441.85
Spindle,C3-A1,454.05,454.54
Spindle,C3-A1,464.51,465.39
Spindle,C3-A1,470.82,471.59
Spindle,C3-A1,505.0,506.09
Spindle,C3-A1,525.21,525.82
Spindle,C3-A1,528.7,529.4
Spindle,C3-A1,553.08,553.73
Spindle,C3-A1,557.07,557.63
Spindle,C3-A1,575.94,576.77
Spindle,C3-A1,617.79,618.27
Spindle,C3-A1,631.16,632.26
Spindle,C3-A1,637.27,638.17
Spindle,C3-A1,654.61,655.38
Spindle,C3-A1,665.73,666.72
Spindle,C3-A1,678.04,678.74
Spindle,C3-A1,688.81,689.31
Spindle,C3-A1,702.66,703.4
Spindle,C3-A1,708.03,709.24
Spindle,C3-A1,730.53,731.37
Spindle,C3-A1,742.91,743.94
Spindle,C3-A1,747.17,747.85
Spindle,C3-A1,759.5,760.0
Spindle,C3-A1,766.36,767.42
Spindle,C3-A1,770.49,771.16
Spindle,C3-A1,774.23,774.79
Spindle,C3-A1,781.49,782.55
Spindle,C3-A1,788.39,789.45
Spindle,C3-A1,795.78,796.41
Spindle,C3-A1,811.41,812.7
Spindle,C3-A1,826.45,827.24
Spindle,C3-A1,834.2,834.97
Spindle,C3-A1,847.19,848.54
Spindle,C3-A1,873.71,874.47
Spindle,C3-A1,876.19,877.21
Spindle,C3-A1,893.89,894.48
Spindle,C3-A1,939.14,939.78
Spindle,C3-A1,950.06,951.11
Spindle,C3-A1,960.07,961.53
Spindle,C3-A1,975.51,976.55
Spindle,C3-A1,992.63,993.46
Spindle,C3-A1,1004.06,1004.78
Spindle,C3-A1,1015.33,1016.28
Spindle,C3-A1,1063.97,1064.69
