feature_type,channel,start,end
Spindle,C3-A1,282.37,282.88
Spindle,C3-A1,290.44,291.73
Spindle,C3-A1,311.45,312.09
Spindle,C3-A1,340.32,340.81
Spindle,C3-A1,366.99,367.48
Spindle,C3-A1,396.71,397.48
Spindle,C3-A1,402.66,403.11
Spindle,C3-A1,423.02,423.5
Spindle,C3-A1,437.43,438.36
Spindle,C3-A1,441.02,441.8
Spindle,C3-A1,444.15,444.85
Spindle,C3-A1,453.94,454.59
Spindle,C3-A1,470.87,472.27
Spindle,C3-A1,525.18,525.91
Spindle,C3-A1,528.66,529.42
Spindle,C3-A1,540.7,541.31
Spindle,C3-A1,543.76,544.29
Spindle,C3-A1,553.17,553.75
Spindle,C3-A1,559.64,560.0
Spindle,C3-A1,560.0,560.84
Spindle,C3-A1,575.97,576.86
Spindle,C3-A1,581.1,581.65
Spindle,C3-A1,607.19,607.83
Spindle,C3-A1,617.68,618.31
Spindle,C3-A1,631.86,632.52
Spindle,C3-A1,637.38,638.22
Spindle,C3-A1,652.18,652.81
Spindle,C3-A1,659.41,659.87
Spindle,C3-A1,665.73,666.77
Spindle,C3-A1,677.9,678.69
Spindle,C3-A1,686.09,687.03
Spindle,C3-A1,692.88,694.29
Spindle,C3-A1,702.71,703.36
Spindle,C3-A1,707.96,709.15
Spindle,C3-A1,728.91,729.47
Spindle,C3-A1,735.42,736.19
Spindle,C3-A1,742.96,743.76
Spindle,C3-A1,759.51,760.0
Spindle,C3-A1,781.65,782.28
Spindle,C3-A1,788.32,789.56
Spindle,C3-A1,811.55,812.42
Spindle,C3-A1,814.29,815.15
Spindle,C3-A1,826.52,827.19
Spindle,C3-A1,834.29,834.97
Spindle,C3-A1,847.3,848.59
Spindle,C3-A1,850.1,850.48
Spindle,C3-A1,893.96,894.61
Spindle,C3-A1,896.03,896.71
Spindle,C3-A1,939.14,939.62
Spindle,C3-A1,946.67,947.06
Spindle,C3-A1,960.0,961.33
Spindle,C3-A1,975.42,976.5
Spindle,C3-A1,1015.22,1016.23
Spindle,C3-A1,1045.77,1046.52
Spindle,C3-A1,1064.03,1064.58
