feature_type,channel,start,end
Spindle,C3-A1,282.39,282.8
Spindle,C3-A1,311.43,312.0
Spindle,C3-A1,340.27,340.75
Spindle,C3-A1,380.34,381.4
Spindle,C3-A1,393.06,393.84
Spindle,C3-A1,396.69,397.47
Spindle,C3-A1,418.22,419.12
Spindle,C3-A1,422.93,423.68
Spindle,C3-A1,437.27,438.58
Spindle,C3-A1,441.04,441.96
Spindle,C3-A1,443.83,444.74
Spindle,C3-A1,453.93,454.57
Spindle,C3-A1,468.45,469.15
Spindle,C3-A1,470.84,471.64
Spindle,C3-A1,528.63,529.38
Spindle,C3-A1,532.54,533.23
Spindle,C3-A1,540.83,541.38
Spindle,C3-A1,552.92,553.67
Spindle,C3-A1,560.29,561.04
Spindle,C3-A1,575.9,576.71
Spindle,C3-A1,581.01,581.74
Spindle,C3-A1,617.61,618.35
Spindle,C3-A1,631.84,632.52
Spindle,C3-A1,648.14,649.0
Spindle,C3-A1,652.11,652.81
Spindle,C3-A1,654.7,655.18
Spindle,C3-A1,656.59,657.52
Spindle,C3-A1,665.64,666.86
Spindle,C3-A1,678.02,678.81
Spindle,C3-A1,681.83,682.48
Spindle,C3-A1,688.73,689.29
Spindle,C3-A1,702.71,703.52
Spindle,C3-A1,708.23,709.16
Spindle,C3-A1,726.94,727.65
Spindle,C3-A1,728.77,729.45
Spindle,C3-A1,735.38,736.42
Spindle,C3-A1,743.02,743.72
Spindle,C3-A1,759.42,760.0
Spindle,C3-A1,776.6,777.45
Spindle,C3-A1,781.6,782.43
Spindle,C3-A1,795.72,796.41
Spindle,C3-A1,802.91,803.63
Spindle,C3-A1,811.19,812.7
Spindle,C3-A1,826.45,827.22
Spindle,C3-A1,834.3,835.18
Spindle,C3-A1,836.39,836.93
Spindle,C3-A1,847.19,848.63
Spindle,C3-A1,893.94,894.77
Spindle,C3-A1,914.56,915.26
Spindle,C3-A1,960.13,961.49
Spindle,C3-A1,975.35,976.55
Spindle,C3-A1,992.38,993.41
Spindle,C3-A1,1001.29,1001.98
Spindle,C3-A1,1015.02,1016.08
Spindle,C3-A1,1021.02,1021.78
Spindle,C3-A1,1045.79,1046.56
Spindle,C3-A1,1064.04,1064.87
